Regarding 3:1 7:1 11:1 68:1 72:1 173:1 21099:1
the 66:1 73:1 152:1 171:1 8345:1 21100:1
domoic 26:1 67:1 150:1 172:1 8343:1 8348:1
acid 10:1 24:1 26:1 151:1 8344:1 8346:1
toxicosis 2:1 24:1 25:1 26:1 8347:1 11630:1
event 9:1 24:1 25:1 125:1 236:1 11628:1
in 25:1 68:1 123:1 173:1 234:1 11629:1
the 17:1 66:1 124:1 171:1 235:1 5942:1
Pacific 10:1 11:1 15:1 17:1 67:1 172:1 5940:1
Ocean 2:1 11:1 15:1 16:1 125:1 5219:1 5941:1
off 9:1 16:1 89:1 123:1 503:1 5217:1
-LSB- 68:1 87:1 124:1 173:1 501:1 5218:1
the 26:1 66:1 88:1 171:1 502:1 3050:1
coast 24:1 67:1 125:1 161:1 172:1 3048:1
of 25:1 95:1 123:1 159:1 641:1 3049:1
-RSB- 17:1 93:1 124:1 160:1 639:1 7664:1
California 11:1 15:1 68:1 94:1 640:1 650:1 7662:1
this 16:1 66:1 152:1 648:1 5720:1 7663:1
past 26:1 67:1 150:1 649:1 5624:1 5718:1
spring 24:1 44:1 151:1 5622:1 5719:1
, 25:1 42:1 113:1 116:1 5623:1
to 26:1 43:1 111:1 114:1 5657:1
date 24:1 112:1 115:1 848:1 896:1 5655:1
we 25:1 668:1 671:1 846:1 894:1 5656:1
have 140:1 296:1 666:1 669:1 847:1 895:1
been 138:1 152:1 294:1 667:1 670:1 1001:1
unable 113:1 116:1 139:1 150:1 295:1 999:1
to 10:1 111:1 114:1 151:1 611:1 1000:1
verify 2:1 112:1 115:1 152:1 609:1 18761:1
classic 9:1 10:1 150:1 152:1 610:1 18759:1
histopathologic 2:1 104:1 150:1 151:1 1805:1 18760:1
lesions 9:1 102:1 125:1 151:1 161:1 1803:1
of 103:1 123:1 152:1 159:1 1804:1 8345:1
domoic 26:1 124:1 150:1 160:1 8343:1 8348:1
acid 10:1 24:1 26:1 151:1 8344:1 8346:1
toxicosis 2:1 24:1 25:1 125:1 236:1 8347:1
in 9:1 10:1 25:1 26:1 123:1 234:1
dolphin 2:1 10:1 24:1 104:1 124:1 235:1
brains 2:1 9:1 25:1 62:1 102:1
. 4:1 8:1 9:1 60:1 103:1
In 3:1 7:1 11:1 123:1 527:1 584:1 1182:1
most 104:1 124:1 525:1 582:1 1183:1 3254:1
mammals 44:1 102:1 526:1 583:1 3252:1
, 42:1 68:1 103:1 173:1 3253:1
the 10:1 26:1 43:1 66:1 171:1
hippocampus 2:1 24:1 67:1 83:1 172:1 479:1
is 9:1 25:1 81:1 477:1 572:1 10673:1
fairly 82:1 152:1 478:1 570:1 4745:1 10671:1
large 131:1 134:1 150:1 571:1 4743:1 10672:1
and 10:1 129:1 132:1 151:1 152:1 4744:1
well-developed 2:1 62:1 130:1 133:1 150:1
. 4:1 8:1 9:1 60:1 151:1
The 3:1 7:1 11:1 63:1 66:1 152:1 18761:1
classic 10:1 26:1 64:1 67:1 150:1 18759:1
lesion 2:1 24:1 125:1 151:1 161:1 18760:1
of 9:1 25:1 123:1 152:1 159:1 8345:1
domoic 26:1 124:1 150:1 160:1 8343:1 8348:1
acid 24:1 89:1 151:1 8344:1 8346:1
-LRB- 25:1 87:1 131:1 134:1 8347:1
and 88:1 129:1 132:1 149:1 152:1
other 10:1 104:1 130:1 133:1 147:1 150:1
excitotoxins 2:1 95:1 102:1 148:1 151:1
-RRB- 9:1 10:1 26:1 93:1 103:1
toxicosis 2:1 24:1 83:1 94:1 479:1
is 9:1 25:1 26:1 81:1 477:1 9311:1
necrosis 24:1 82:1 125:1 161:1 478:1 9309:1
of 25:1 68:1 123:1 159:1 173:1 9310:1
the 10:1 66:1 124:1 152:1 160:1 171:1
hippocampal 2:1 10:1 67:1 104:1 150:1 172:1
neurons 2:1 9:1 62:1 102:1 151:1
. 4:1 8:1 9:1 60:1 103:1
We 3:1 7:1 11:1 668:1 671:1 843:1 846:1
have 140:1 666:1 669:1 844:1 847:1 2993:1
seen 68:1 138:1 650:1 667:1 670:1 2991:1
this 10:1 26:1 66:1 139:1 648:1 2992:1
lesion 2:1 24:1 67:1 152:1 649:1 2441:1
many 9:1 25:1 104:1 150:1 2439:1 9758:1
times 102:1 125:1 151:1 2440:1 4919:1 9756:1
before 103:1 123:1 125:1 236:1 4917:1 9757:1
in 123:1 124:1 140:1 234:1 4918:1 7982:1
affected 26:1 124:1 138:1 235:1 7980:1 19436:1
sea 10:1 24:1 104:1 139:1 7981:1 19434:1
lions 2:1 25:1 44:1 102:1 19435:1
, 9:1 42:1 103:1 158:1 572:1
as 43:1 156:1 570:1 572:1 4394:1
well 125:1 157:1 158:1 570:1 571:1 4392:1
as 123:1 125:1 156:1 236:1 571:1 4393:1
in 123:1 124:1 152:1 157:1 234:1 8567:1
experimental 104:1 124:1 150:1 235:1 2729:1 8565:1
studies 102:1 125:1 151:1 770:1 2727:1 8566:1
on 103:1 104:1 123:1 768:1 2728:1 22262:1
rodents 62:1 102:1 124:1 769:1 22260:1
. 4:1 8:1 60:1 103:1 22261:1
In 3:1 7:1 11:1 104:1 123:1 1182:1 8306:1
dolphins 102:1 124:1 131:1 134:1 1183:1 8304:1
and 103:1 129:1 132:1 149:1 152:1 8305:1
other 10:1 104:1 130:1 133:1 147:1 150:1
cetaceans 2:1 44:1 102:1 148:1 151:1
, 9:1 42:1 68:1 103:1 173:1
the 10:1 26:1 43:1 66:1 171:1
hippocampus 2:1 24:1 67:1 83:1 172:1 479:1
is 9:1 25:1 81:1 477:1 572:1 3425:1
extremely 82:1 152:1 478:1 570:1 3423:1 4313:1
small 89:1 150:1 571:1 3424:1 4311:1
-LRB- 87:1 151:1 491:1 4312:1 4733:1
less 88:1 125:1 489:1 2477:1 4731:1
than 10:1 50:1 123:1 490:1 2475:1 4732:1
1/4 2:1 26:1 48:1 124:1 1979:1 2476:1
cm 9:1 24:1 49:1 125:1 236:1 1977:1
in 10:1 25:1 26:1 123:1 234:1 1978:1
diameter 2:1 24:1 124:1 125:1 235:1 236:1
in 9:1 25:1 104:1 123:1 234:1 8306:1
dolphins 95:1 102:1 124:1 235:1 8304:1
-RRB- 93:1 103:1 131:1 134:1 8305:1
and 10:1 94:1 129:1 132:1 572:1
poorly 2:1 130:1 133:1 140:1 570:1 2720:1
developed 9:1 62:1 138:1 571:1 2718:1
. 4:1 8:1 60:1 139:1 2719:1
The 3:1 7:1 10:1 11:1 63:1 66:1 152:1
distinctive 2:1 10:1 64:1 67:1 150:1 152:1
histologic 2:1 9:1 10:1 150:1 151:1 152:1
layered 2:1 9:1 26:1 150:1 151:1 19310:1
arrangement 9:1 24:1 83:1 151:1 479:1 19308:1
is 10:1 25:1 81:1 152:1 477:1 19309:1
indistinct 2:1 44:1 82:1 150:1 478:1
, 9:1 42:1 125:1 151:1 1328:1
so 43:1 123:1 848:1 863:1 1326:1
it 83:1 124:1 479:1 846:1 861:1 1327:1
is 81:1 477:1 572:1 847:1 862:1 899:1
very 82:1 152:1 478:1 570:1 897:1 16922:1
hard 113:1 116:1 150:1 571:1 898:1 16920:1
to 10:1 111:1 114:1 151:1 611:1 16921:1
locate 2:1 112:1 115:1 131:1 134:1 609:1
and 9:1 129:1 132:1 610:1 611:1 9239:1
identify 125:1 130:1 133:1 609:1 770:1 9237:1
on 10:1 123:1 152:1 610:1 768:1 9238:1
histologic 2:1 104:1 124:1 150:1 769:1 4202:1
sections 9:1 62:1 102:1 151:1 4200:1
. 4:1 8:1 60:1 103:1 4201:1
It 3:1 7:1 11:1 83:1 846:1 3714:1 14774:1
lies 81:1 125:1 485:1 847:1 3715:1 14772:1
at 68:1 82:1 123:1 173:1 483:1 14773:1
the 26:1 66:1 124:1 171:1 484:1 14477:1
base 24:1 67:1 125:1 161:1 172:1 14475:1
of 25:1 68:1 123:1 159:1 173:1 14476:1
the 26:1 66:1 124:1 160:1 171:1 5324:1
brain 24:1 44:1 67:1 172:1 5322:1
, 25:1 42:1 125:1 5323:1 6386:1
near 43:1 68:1 123:1 173:1 6384:1
the 10:1 66:1 124:1 152:1 171:1 6385:1
ventral 2:1 26:1 67:1 150:1 172:1 14345:1
surface 9:1 24:1 125:1 151:1 161:1 14343:1
of 25:1 68:1 123:1 159:1 173:1 14344:1
the 10:1 66:1 124:1 152:1 160:1 171:1
temporal 2:1 10:1 67:1 104:1 150:1 172:1
lobes 2:1 9:1 44:1 102:1 151:1
, 9:1 42:1 103:1 572:1 4340:1
just 10:1 43:1 152:1 570:1 4338:1
lateral 2:1 113:1 116:1 150:1 571:1 4339:1
