---------------------------------------------------------------------------- 2:1 3:1 7:1 10:1 26:1 48:1
Wheat 2:1 9:1 11:1 24:1 26:1 49:1 16262:1
stem 9:1 24:1 25:1 26:1 16260:1 20270:1
rust 24:1 25:1 83:1 479:1 16261:1 20268:1
is 10:1 25:1 81:1 477:1 491:1 20269:1
lighter 2:1 82:1 125:1 478:1 489:1 2477:1
than 9:1 123:1 152:1 490:1 2475:1 15398:1
normal 68:1 124:1 150:1 650:1 2476:1 15396:1
this 26:1 66:1 151:1 648:1 1166:1 15397:1
year 24:1 67:1 125:1 649:1 1163:1 1164:1
throughout 25:1 68:1 123:1 173:1 1161:1 1165:1
the 17:1 66:1 124:1 171:1 1162:1 13370:1
Great 10:1 11:1 15:1 41:1 67:1 172:1 13368:1
Plains 2:1 11:1 16:1 39:1 62:1 13369:1
. 4:1 8:1 9:1 40:1 60:1
Wheat 2:1 3:1 7:1 11:1 24:1 26:1 12593:1
leaf 9:1 24:1 25:1 26:1 12591:1 20270:1
rust 24:1 25:1 83:1 293:1 12592:1 20268:1
has 25:1 81:1 140:1 291:1 5327:1 20269:1
appeared 82:1 138:1 292:1 491:1 5325:1 13076:1
earlier 125:1 139:1 489:1 2477:1 5326:1 13074:1
than 123:1 152:1 490:1 1556:1 2475:1 13075:1
usual 124:1 150:1 572:1 1554:1 2476:1 11276:1
again 125:1 151:1 236:1 570:1 1555:1 11274:1
in 68:1 123:1 173:1 234:1 571:1 11275:1
the 66:1 124:1 152:1 171:1 235:1 11222:1
northern 10:1 67:1 104:1 150:1 172:1 11220:1
plains 2:1 68:1 102:1 151:1 650:1 11221:1
this 9:1 26:1 66:1 103:1 648:1 1166:1
year 24:1 62:1 67:1 649:1 1164:1
. 4:1 8:1 25:1 60:1 1165:1
Wheat 2:1 3:1 7:1 10:1 11:1 24:1 26:1
stripe 2:1 9:1 24:1 25:1 26:1 20270:1
rust 9:1 24:1 25:1 83:1 479:1 20268:1
is 10:1 25:1 81:1 477:1 572:1 20269:1
unusually 2:1 82:1 152:1 478:1 570:1 9689:1
widespread 9:1 125:1 150:1 206:1 571:1 9687:1
from 17:1 123:1 151:1 204:1 9688:1 16688:1
Kansas 11:1 15:1 124:1 131:1 134:1 205:1 16686:1
and 10:1 16:1 129:1 132:1 152:1 16687:1
northeastern 2:1 17:1 130:1 133:1 150:1 9458:1
Nebraska 9:1 11:1 15:1 113:1 116:1 151:1 9456:1
to 16:1 111:1 114:1 152:1 2753:1 9457:1
central 17:1 112:1 115:1 150:1 422:1 2751:1
Indiana 11:1 15:1 32:1 151:1 338:1 420:1 2752:1
; 16:1 30:1 104:1 336:1 421:1 13949:1
losses 31:1 102:1 110:1 337:1 1160:1 13947:1
occurred 103:1 108:1 125:1 236:1 1158:1 13948:1
in 68:1 109:1 123:1 234:1 1159:1 2909:1
some 17:1 66:1 124:1 235:1 2907:1 16688:1
Kansas 11:1 15:1 67:1 104:1 2908:1 15467:1 16686:1
fields 16:1 62:1 102:1 15465:1 16687:1
. 4:1 8:1 60:1 103:1 15466:1
---------------------------------------------------------------------------- 2:1 3:1 7:1 48:1 65:1 68:1
The 9:1 11:1 49:1 63:1 66:1 152:1 4313:1
small 26:1 64:1 67:1 150:1 1967:1 4311:1
grain 10:1 24:1 26:1 151:1 1965:1 4312:1
harvest 2:1 24:1 25:1 83:1 479:1 1966:1
is 9:1 25:1 26:1 81:1 477:1 7760:1
underway 24:1 82:1 125:1 206:1 478:1 7758:1
from 25:1 123:1 152:1 204:1 7759:1 13931:1
southern 17:1 124:1 150:1 205:1 8009:1 13929:1
South 11:1 15:1 17:1 151:1 437:1 8007:1 13930:1
Carolina 11:1 15:1 16:1 113:1 116:1 435:1 8008:1
to 16:1 111:1 114:1 152:1 436:1 11222:1
northern 10:1 17:1 112:1 115:1 150:1 11220:1
Oklahoma 2:1 11:1 15:1 62:1 151:1 11221:1
. 4:1 8:1 9:1 16:1 60:1
Winter 3:1 7:1 10:1 11:1 15:1 26:1 708:1
wheat 2:1 10:1 16:1 24:1 26:1 709:1
maturity 2:1 9:1 24:1 25:1 83:1 479:1
is 9:1 25:1 50:1 81:1 477:1 2609:1
one 48:1 82:1 113:1 116:1 478:1 2607:1
to 49:1 50:1 111:1 114:1 542:1 2608:1
two 48:1 104:1 112:1 115:1 540:1 1970:1
weeks 10:1 49:1 102:1 541:1 572:1 1968:1
ahead 2:1 103:1 125:1 161:1 570:1 1969:1
of 9:1 123:1 152:1 159:1 571:1 15398:1
normal 124:1 125:1 150:1 160:1 1163:1 15396:1
throughout 68:1 123:1 151:1 173:1 1161:1 15397:1
the 17:1 66:1 124:1 171:1 1162:1 7958:1
U.S. 10:1 11:1 15:1 67:1 152:1 172:1 7956:1
Small 2:1 11:1 16:1 26:1 150:1 1967:1 7957:1
grain 9:1 24:1 26:1 151:1 1965:1 20531:1
planting 24:1 25:1 83:1 479:1 1966:1 20529:1
is 25:1 81:1 477:1 572:1 3536:1 20530:1
virtually 82:1 152:1 478:1 570:1 3534:1 6248:1
complete 125:1 150:1 236:1 571:1 3535:1 6246:1
in 68:1 123:1 151:1 173:1 234:1 6247:1
the 66:1 124:1 152:1 171:1 235:1 11222:1
northern 67:1 74:1 150:1 172:1 9983:1 11220:1
growing 26:1 72:1 151:1 1448:1 9981:1 11221:1
area 24:1 73:1 131:1 134:1 1446:1 9982:1
and 25:1 26:1 129:1 132:1 1447:1 8606:1
development 24:1 125:1 130:1 133:1 161:1 8604:1
of 10:1 25:1 123:1 152:1 159:1 8605:1
spring-planted 2:1 10:1 104:1 124:1 150:1 160:1
grains 2:1 9:1 83:1 102:1 151:1 479:1
is 9:1 10:1 81:1 103:1 477:1 572:1
ahead 2:1 82:1 125:1 161:1 478:1 570:1
of 9:1 123:1 152:1 159:1 571:1 8117:1
average 10:1 26:1 124:1 150:1 160:1 8115:1
maturity 2:1 24:1 62:1 151:1 8116:1
. 4:1 8:1 9:1 25:1 60:1
Wheat 2:1 3:1 7:1 11:1 24:1 26:1 16262:1
stem 9:1 24:1 25:1 26:1 16260:1 20270:1
rust 24:1 25:1 62:1 16261:1 20268:1
. 4:1 8:1 25:1 60:1 20269:1
During 3:1 7:1 11:1 123:1 152:1 168:1 3059:1
late 17:1 124:1 150:1 169:1 2261:1 3057:1
May 11:1 15:1 44:1 151:1 2259:1 3058:1
, 10:1 16:1 42:1 104:1 2260:1
foci 2:1 43:1 102:1 125:1 161:1
of 9:1 50:1 103:1 123:1 159:1 3512:1
20 26:1 48:1 124:1 160:1 332:1 3510:1
% 24:1 26:1 49:1 330:1 3511:1 10640:1
severity 24:1 25:1 110:1 203:1 331:1 10638:1
were 25:1 108:1 140:1 201:1 2486:1 10639:1
observed 10:1 109:1 138:1 140:1 202:1 2484:1
scattered 2:1 125:1 138:1 139:1 1163:1 2485:1
throughout 9:1 68:1 123:1 139:1 287:1 1161:1
a 26:1 66:1 124:1 285:1 1162:1 8090:1
field 24:1 67:1 125:1 236:1 286:1 8088:1
in 25:1 123:1 152:1 234:1 8089:1 13367:1
west 124:1 150:1 152:1 235:1 2753:1 13365:1
central 10:1 17:1 150:1 151:1 2751:1 13366:1
Missouri 2:1 11:1 15:1 44:1 151:1 2752:1
, 9:1 16:1 42:1 131:1 134:1
and 43:1 104:1 129:1 132:1 13757:1
traces 102:1 110:1 130:1 133:1 203:1 13755:1
were 103:1 108:1 140:1 201:1 2216:1 13756:1
found 109:1 125:1 138:1 202:1 236:1 2214:1
in 68:1 123:1 139:1 234:1 287:1 2215:1
a 66:1 124:1 152:1 235:1 285:1 3302:1
south 67:1 150:1 152:1 286:1 2753:1 3300:1
central 17:1 150:1 151:1 2751:1 3301:1 16688:1
Kansas 10:1 11:1 15:1 26:1 151:1 2752:1 16686:1
nursery 2:1 16:1 24:1 62:1 16687:1
. 4:1 8:1 9:1 25:1 60:1
Light 2:1 3:1 7:1 11:1 26:1 150:1 16262:1
stem 9:1 24:1 26:1 151:1 16260:1 20270:1
rust 24:1 25:1 110:1 275:1 16261:1 20268:1
was 25:1 108:1 140:1 273:1 2486:1 20269:1
observed 109:1 125:1 138:1 274:1 770:1 2484:1
on 123:1 139:1 152:1 768:1 2485:1 8579:1
susceptible 10:1 104:1 124:1 150:1 769:1 8577:1
wheats 2:1 102:1 125:1 151:1 1196:1 8578:1
during 9:1 10:1 26:1 103:1 123:1 1194:1
harvest 2:1 24:1 124:1 125:1 236:1 1195:1
in 9:1 25:1 123:1 152:1 234:1 11222:1
northern 17:1 124:1 150:1 235:1 11220:1 17309:1
Texas 10:1 11:1 15:1 26:1 151:1 11221:1 17307:1
wheat 2:1 10:1 16:1 24:1 104:1 17308:1
plots 2:1 9:1 25:1 102:1 125:1 236:1
in 9:1 103:1 123:1 152:1 234:1 3059:1
late 17:1 124:1 150:1 235:1 2261:1 3057:1
May 11:1 15:1 62:1 151:1 2259:1 3058:1
. 4:1 8:1 16:1 60:1 2260:1
Wheat 2:1 3:1 7:1 11:1 24:1 26:1 16262:1
stem 9:1 24:1 25:1 26:1 16260:1 20270:1
rust 24:1 25:1 26:1 8606:1 16261:1 20268:1
development 24:1 25:1 83:1 479:1 8604:1 20269:1
is 25:1 81:1 152:1 477:1 5066:1 8605:1
much 10:1 82:1 150:1 478:1 491:1 5064:1
lighter 2:1 125:1 151:1 489:1 2477:1 5065:1
than 9:1 123:1 152:1 490:1 2475:1 15398:1
normal 68:1 124:1 150:1 650:1 2476:1 15396:1
this 26:1 66:1 151:1 648:1 1166:1 15397:1
year 24:1 67:1 125:1 649:1 1163:1 1164:1
throughout 25:1 68:1 123:1 173:1 1161:1 1165:1
the 10:1 66:1 104:1 124:1 171:1 1162:1
plains 2:1 26:1 67:1 102:1 172:1 1448:1
area 9:1 24:1 103:1 125:1 161:1 1446:1
of 25:1 68:1 123:1 159:1 173:1 1447:1
the 17:1 66:1 124:1 160:1 171:1 7958:1
U.S. 10:1 11:1 15:1 17:1 67:1 172:1 7956:1
********** 2:1 10:1 15:1 16:1 17:1 7957:1
Wheat 2:1 9:1 11:1 15:1 16:1 26:1 12593:1
leaf 9:1 16:1 24:1 26:1 12591:1 20270:1
rust 24:1 25:1 62:1 12592:1 20268:1
. 4:1 8:1 25:1 60:1 20269:1
During 3:1 7:1 11:1 68:1 123:1 168:1 173:1
the 66:1 124:1 152:1 169:1 171:1 1085:1
last 26:1 67:1 150:1 172:1 176:1 1083:1
week 24:1 125:1 151:1 174:1 236:1 1084:1
in 17:1 25:1 123:1 175:1 234:1 2261:1
May 11:1 15:1 44:1 124:1 235:1 2259:1
, 16:1 26:1 42:1 2260:1 10925:1
trace 24:1 43:1 113:1 116:1 10923:1
to 25:1 50:1 111:1 114:1 5351:1 10924:1
80 26:1 48:1 112:1 115:1 332:1 5349:1
% 10:1 24:1 49:1 104:1 330:1 5350:1
severities 2:1 25:1 102:1 110:1 203:1 331:1
were 9:1 103:1 107:1 108:1 140:1 201:1
reported 105:1 109:1 125:1 138:1 202:1 770:1
on 26:1 106:1 123:1 139:1 737:1 768:1
winter 10:1 24:1 26:1 124:1 735:1 769:1
wheat 2:1 10:1 24:1 25:1 104:1 736:1
cultivars 2:1 9:1 25:1 102:1 125:1 236:1
in 9:1 103:1 123:1 152:1 234:1 3302:1
south 124:1 150:1 152:1 235:1 2753:1 3300:1
central 17:1 150:1 151:1 2751:1 3301:1 16688:1
Kansas 11:1 15:1 104:1 151:1 2752:1 9737:1 16686:1
nurseries 16:1 62:1 102:1 9735:1 16687:1
. 4:1 8:1 60:1 103:1 9736:1
In 3:1 7:1 11:1 104:1 123:1 1182:1 15467:1
fields 102:1 124:1 125:1 236:1 1183:1 15465:1
in 68:1 103:1 123:1 173:1 234:1 15466:1
the 66:1 124:1 152:1 171:1 227:1 235:1
same 26:1 67:1 150:1 172:1 225:1 1448:1
area 24:1 44:1 151:1 226:1 1446:1
, 25:1 42:1 50:1 1447:1 3980:1
40 26:1 43:1 48:1 332:1 3978:1
% 10:1 24:1 49:1 104:1 330:1 3979:1
severities 2:1 25:1 102:1 110:1 203:1 331:1
were 9:1 103:1 108:1 140:1 201:1 2486:1
observed 109:1 125:1 138:1 202:1 770:1 2484:1
on 123:1 139:1 152:1 768:1 2485:1 8579:1
susceptible 10:1 104:1 124:1 150:1 769:1 8577:1
cultivars 2:1 102:1 125:1 151:1 5168:1 8578:1
like 9:1 10:1 17:1 103:1 123:1 5166:1
Jagger 2:1 11:1 15:1 44:1 124:1 5167:1
, 9:1 16:1 42:1 134:1 2072:1
but 43:1 125:1 132:1 770:1 2070:1
on 123:1 133:1 527:1 584:1 768:1 2071:1
most 124:1 125:1 161:1 525:1 582:1 769:1
of 68:1 123:1 159:1 173:1 526:1 583:1
the 66:1 124:1 149:1 152:1 160:1 171:1
other 10:1 67:1 104:1 147:1 150:1 172:1
cultivars 2:1 10:1 102:1 104:1 148:1 151:1
severities 2:1 9:1 102:1 103:1 110:1 203:1
were 9:1 50:1 103:1 108:1 201:1 224:1
1 26:1 48:1 109:1 202:1 222:1 332:1
% 24:1 49:1 134:1 197:1 223:1 330:1
or 25:1 132:1 195:1 331:1 491:1 4733:1
less 62:1 133:1 196:1 489:1 4731:1
. 4:1 8:1 60:1 490:1 4732:1
In 3:1 7:1 11:1 123:1 572:1 1182:1 4343:1
north 124:1 152:1 570:1 1183:1 2753:1 4341:1
central 17:1 150:1 571:1 2751:1 4342:1 16688:1
Kansas 11:1 15:1 131:1 134:1 151:1 2752:1 16686:1
and 16:1 129:1 132:1 152:1 13367:1 16687:1
west 130:1 133:1 150:1 152:1 2753:1 13365:1
