0 3:1 7:1 11:1 125:1 609:1 642:1 770:1
0 26:1 123:1 610:1 643:1 768:1 8798:1
0 24:1 124:1 125:1 161:1 769:1 8796:1
0 25:1 68:1 123:1 159:1 287:1 8797:1
0 26:1 66:1 124:1 160:1 285:1 16067:1
0 10:1 24:1 26:1 67:1 286:1 16065:1
0 2:1 24:1 25:1 125:1 158:1 16066:1
0 9:1 25:1 123:1 152:1 156:1 2687:1
0 26:1 124:1 150:1 157:1 2375:1 2685:1
0 24:1 125:1 151:1 161:1 2373:1 2686:1
0 17:1 25:1 123:1 159:1 2374:1 6710:1
0 11:1 15:1 44:1 124:1 160:1 6708:1
0 16:1 17:1 42:1 3290:1 6709:1
0 11:1 15:1 43:1 50:1 3288:1 18125:1
0 16:1 48:1 62:1 3289:1 18123:1
0 4:1 8:1 49:1 60:1 18124:1
0 2:1 3:1 7:1 10:1 11:1 24:1 104:1
0 2:1 9:1 25:1 32:1 102:1
0 9:1 30:1 65:1 68:1 103:1
0 11:1 26:1 31:1 63:1 66:1 1733:1
0 11:1 17:1 24:1 64:1 67:1 1731:1 14693:1
0 10:1 11:1 15:1 25:1 83:1 1732:1 14691:1
0 2:1 16:1 81:1 152:1 2687:1 14692:1
0 9:1 82:1 104:1 150:1 2685:1 6245:1
0 102:1 125:1 151:1 161:1 2686:1 6243:1
0 103:1 104:1 123:1 159:1 233:1 6244:1
0 102:1 124:1 125:1 160:1 206:1 231:1
0 26:1 103:1 123:1 204:1 232:1 9344:1
0 24:1 124:1 125:1 205:1 236:1 9342:1
0 25:1 68:1 123:1 234:1 413:1 9343:1
0 26:1 66:1 124:1 235:1 411:1 6710:1
0 11:1 24:1 67:1 152:1 412:1 4649:1 6708:1
0 25:1 104:1 150:1 191:1 4647:1 6709:1
0 102:1 125:1 151:1 189:1 236:1 4648:1
0 17:1 103:1 123:1 190:1 234:1 3290:1
0 11:1 15:1 124:1 131:1 134:1 235:1 3288:1
0 16:1 83:1 129:1 132:1 293:1 3289:1
0 81:1 130:1 133:1 291:1 572:1 1328:1
0 82:1 292:1 570:1 572:1 1326:1 1331:1
0 140:1 570:1 571:1 1327:1 1329:1 10022:1
0 138:1 140:1 571:1 1330:1 10020:1 17213:1
0 104:1 138:1 139:1 6392:1 10021:1 17211:1
0 102:1 125:1 139:1 770:1 6390:1 17212:1
0 68:1 103:1 123:1 173:1 768:1 6391:1
0 66:1 124:1 152:1 171:1 512:1 769:1
0 50:1 67:1 150:1 172:1 185:1 510:1
0 48:1 104:1 151:1 183:1 191:1 511:1
0 49:1 102:1 125:1 184:1 189:1 2393:1
0 103:1 123:1 125:1 161:1 190:1 2391:1
0 50:1 123:1 124:1 159:1 182:1 2392:1
0 48:1 124:1 125:1 160:1 180:1 236:1
0 26:1 49:1 123:1 181:1 234:1 260:1
0 24:1 62:1 124:1 235:1 258:1
0 4:1 8:1 25:1 60:1 259:1
0 3:1 7:1 11:1 83:1 846:1 3668:1 3714:1
0 81:1 125:1 206:1 847:1 3666:1 3715:1
0 68:1 82:1 123:1 173:1 204:1 3667:1
0 26:1 66:1 77:1 124:1 171:1 205:1
0 24:1 67:1 75:1 125:1 172:1 770:1
0 25:1 68:1 76:1 123:1 173:1 768:1
0 10:1 66:1 124:1 152:1 171:1 769:1
0 2:1 26:1 67:1 150:1 172:1 866:1
0 9:1 24:1 125:1 151:1 515:1 864:1
0 25:1 68:1 123:1 173:1 513:1 865:1
0 66:1 124:1 152:1 171:1 514:1 4664:1
0 26:1 67:1 150:1 172:1 4662:1 9344:1
0 24:1 44:1 151:1 4663:1 9342:1
0 25:1 42:1 821:1 824:1 9343:1
0 43:1 83:1 293:1 819:1 822:1
0 81:1 140:1 291:1 296:1 820:1 823:1
0 82:1 138:1 140:1 292:1 294:1 1940:1
0 125:1 138:1 139:1 236:1 295:1 1938:1
0 68:1 123:1 139:1 234:1 413:1 1939:1
0 50:1 66:1 124:1 185:1 235:1 411:1
0 10:1 48:1 67:1 152:1 183:1 412:1
0 2:1 11:1 49:1 104:1 150:1 184:1 9524:1
0 9:1 44:1 102:1 151:1 9522:1
0 42:1 83:1 103:1 479:1 9523:1
0 43:1 68:1 81:1 173:1 477:1
0 26:1 66:1 82:1 171:1 478:1 16067:1
0 10:1 24:1 26:1 67:1 172:1 16065:1
0 2:1 24:1 25:1 842:1 16066:1
0 9:1 10:1 17:1 25:1 840:1
0 2:1 11:1 15:1 841:1 875:1
0 9:1 16:1 140:1 873:1 5903:1
0 125:1 138:1 143:1 874:1 5901:1
0 68:1 123:1 139:1 141:1 173:1 5902:1
0 10:1 26:1 66:1 124:1 142:1 171:1
0 2:1 24:1 67:1 172:1 842:1
0 9:1 10:1 17:1 25:1 840:1
0 2:1 10:1 11:1 15:1 17:1 841:1
0 2:1 9:1 11:1 15:1 16:1 875:1
0 9:1 16:1 44:1 873:1
0 17:1 42:1 874:1 3296:1
0 11:1 15:1 43:1 44:1 3294:1
0 16:1 42:1 134:1 2072:1 3295:1
0 43:1 68:1 132:1 515:1 2070:1
0 26:1 66:1 133:1 513:1 2071:1 7124:1
