0 3:1 7:1 11:1 68:1 72:1 173:1 21099:1
0 66:1 73:1 152:1 171:1 8345:1 21100:1
0 26:1 67:1 150:1 172:1 8343:1 8348:1
0 10:1 24:1 26:1 151:1 8344:1 8346:1
0 2:1 24:1 25:1 26:1 8347:1 11630:1
0 9:1 24:1 25:1 125:1 236:1 11628:1
0 25:1 68:1 123:1 173:1 234:1 11629:1
0 17:1 66:1 124:1 171:1 235:1 5942:1
0 10:1 11:1 15:1 17:1 67:1 172:1 5940:1
0 2:1 11:1 15:1 16:1 125:1 5042:1 5941:1
0 9:1 16:1 89:1 123:1 503:1 5040:1
0 68:1 87:1 124:1 173:1 501:1 5041:1
0 26:1 66:1 88:1 171:1 502:1 3050:1
0 24:1 67:1 125:1 161:1 172:1 3048:1
0 25:1 95:1 123:1 159:1 641:1 3049:1
0 17:1 93:1 124:1 160:1 639:1 7664:1
0 11:1 15:1 68:1 94:1 640:1 650:1 7662:1
0 16:1 66:1 152:1 648:1 5720:1 7663:1
0 26:1 67:1 150:1 649:1 5624:1 5718:1
0 24:1 44:1 151:1 5622:1 5719:1
0 25:1 42:1 113:1 116:1 5623:1
0 26:1 43:1 111:1 114:1 5657:1
0 24:1 112:1 115:1 848:1 896:1 5655:1
0 25:1 668:1 671:1 846:1 894:1 5656:1
0 140:1 296:1 666:1 669:1 847:1 895:1
0 138:1 152:1 294:1 667:1 670:1 1001:1
0 113:1 116:1 139:1 150:1 295:1 999:1
0 10:1 111:1 114:1 151:1 611:1 1000:1
0 2:1 112:1 115:1 152:1 609:1 18761:1
0 9:1 10:1 150:1 152:1 610:1 18759:1
0 2:1 104:1 150:1 151:1 1805:1 18760:1
0 9:1 102:1 125:1 151:1 161:1 1803:1
0 103:1 123:1 152:1 159:1 1804:1 8345:1
0 26:1 124:1 150:1 160:1 8343:1 8348:1
0 10:1 24:1 26:1 151:1 8344:1 8346:1
0 2:1 24:1 25:1 125:1 236:1 8347:1
0 9:1 10:1 25:1 26:1 123:1 234:1
0 2:1 10:1 24:1 104:1 124:1 235:1
0 2:1 9:1 25:1 62:1 102:1
0 4:1 8:1 9:1 60:1 103:1
0 3:1 7:1 11:1 123:1 527:1 584:1 1182:1
0 104:1 124:1 525:1 582:1 1183:1 3254:1
0 44:1 102:1 526:1 583:1 3252:1
0 42:1 68:1 103:1 173:1 3253:1
0 10:1 26:1 43:1 66:1 171:1
0 2:1 24:1 67:1 83:1 172:1 479:1
0 9:1 25:1 81:1 477:1 572:1 10541:1
0 82:1 152:1 478:1 570:1 4745:1 10539:1
0 131:1 134:1 150:1 571:1 4743:1 10540:1
0 10:1 129:1 132:1 151:1 152:1 4744:1
0 2:1 62:1 130:1 133:1 150:1
0 4:1 8:1 9:1 60:1 151:1
0 3:1 7:1 11:1 63:1 66:1 152:1 18761:1
0 10:1 26:1 64:1 67:1 150:1 18759:1
0 2:1 24:1 125:1 151:1 161:1 18760:1
0 9:1 25:1 123:1 152:1 159:1 8345:1
0 26:1 124:1 150:1 160:1 8343:1 8348:1
0 24:1 89:1 151:1 8344:1 8346:1
0 25:1 87:1 131:1 134:1 8347:1
0 88:1 129:1 132:1 149:1 152:1
0 10:1 104:1 130:1 133:1 147:1 150:1
0 2:1 95:1 102:1 148:1 151:1
0 9:1 10:1 26:1 93:1 103:1
0 2:1 24:1 83:1 94:1 479:1
0 9:1 25:1 26:1 81:1 477:1 9311:1
0 24:1 82:1 125:1 161:1 478:1 9309:1
0 25:1 68:1 123:1 159:1 173:1 9310:1
0 10:1 66:1 124:1 152:1 160:1 171:1
0 2:1 10:1 67:1 104:1 150:1 172:1
0 2:1 9:1 62:1 102:1 151:1
0 4:1 8:1 9:1 60:1 103:1
0 3:1 7:1 11:1 668:1 671:1 843:1 846:1
0 140:1 666:1 669:1 844:1 847:1 2993:1
0 68:1 138:1 650:1 667:1 670:1 2991:1
0 10:1 26:1 66:1 139:1 648:1 2992:1
0 2:1 24:1 67:1 152:1 649:1 2441:1
0 9:1 25:1 104:1 150:1 2439:1 9758:1
0 102:1 125:1 151:1 2440:1 5339:1 9756:1
0 103:1 123:1 125:1 236:1 5337:1 9757:1
0 123:1 124:1 140:1 234:1 5338:1 7982:1
0 26:1 124:1 138:1 235:1 7980:1 19436:1
0 10:1 24:1 104:1 139:1 7981:1 19434:1
0 2:1 25:1 44:1 102:1 19435:1
0 9:1 42:1 103:1 158:1 572:1
0 43:1 156:1 570:1 572:1 4394:1
0 125:1 157:1 158:1 570:1 571:1 4392:1
0 123:1 125:1 156:1 236:1 571:1 4393:1
0 123:1 124:1 152:1 157:1 234:1 8567:1
0 104:1 124:1 150:1 235:1 2729:1 8565:1
0 102:1 125:1 151:1 770:1 2727:1 8566:1
0 103:1 104:1 123:1 768:1 2728:1 22262:1
0 62:1 102:1 124:1 769:1 22260:1
0 4:1 8:1 60:1 103:1 22261:1
0 3:1 7:1 11:1 104:1 123:1 1182:1 8306:1
0 102:1 124:1 131:1 134:1 1183:1 8304:1
0 103:1 129:1 132:1 149:1 152:1 8305:1
0 10:1 104:1 130:1 133:1 147:1 150:1
0 2:1 44:1 102:1 148:1 151:1
0 9:1 42:1 68:1 103:1 173:1
0 10:1 26:1 43:1 66:1 171:1
0 2:1 24:1 67:1 83:1 172:1 479:1
0 9:1 25:1 81:1 477:1 572:1 3425:1
0 82:1 152:1 478:1 570:1 3423:1 4313:1
0 89:1 150:1 571:1 3424:1 4311:1
0 87:1 151:1 491:1 4312:1 4733:1
0 88:1 125:1 489:1 2477:1 4731:1
0 10:1 50:1 123:1 490:1 2475:1 4732:1
0 2:1 26:1 48:1 124:1 1979:1 2476:1
0 9:1 24:1 49:1 125:1 236:1 1977:1
0 10:1 25:1 26:1 123:1 234:1 1978:1
0 2:1 24:1 124:1 125:1 235:1 236:1
0 9:1 25:1 104:1 123:1 234:1 8306:1
0 95:1 102:1 124:1 235:1 8304:1
0 93:1 103:1 131:1 134:1 8305:1
0 10:1 94:1 129:1 132:1 572:1
0 2:1 130:1 133:1 140:1 570:1 2720:1
0 9:1 62:1 138:1 571:1 2718:1
0 4:1 8:1 60:1 139:1 2719:1
0 3:1 7:1 10:1 11:1 63:1 66:1 152:1
0 2:1 10:1 64:1 67:1 150:1 152:1
0 2:1 9:1 10:1 150:1 151:1 152:1
0 2:1 9:1 26:1 150:1 151:1 19310:1
0 9:1 24:1 83:1 151:1 479:1 19308:1
0 10:1 25:1 81:1 152:1 477:1 19309:1
0 2:1 44:1 82:1 150:1 478:1
0 9:1 42:1 125:1 151:1 1328:1
0 43:1 123:1 848:1 863:1 1326:1
0 83:1 124:1 479:1 846:1 861:1 1327:1
0 81:1 477:1 572:1 847:1 862:1 899:1
0 82:1 152:1 478:1 570:1 897:1 16922:1
0 113:1 116:1 150:1 571:1 898:1 16920:1
0 10:1 111:1 114:1 151:1 611:1 16921:1
0 2:1 112:1 115:1 131:1 134:1 609:1
0 9:1 129:1 132:1 610:1 611:1 9239:1
0 125:1 130:1 133:1 609:1 770:1 9237:1
0 10:1 123:1 152:1 610:1 768:1 9238:1
0 2:1 104:1 124:1 150:1 769:1 4202:1
0 9:1 62:1 102:1 151:1 4200:1
0 4:1 8:1 60:1 103:1 4201:1
0 3:1 7:1 11:1 83:1 846:1 3714:1 14774:1
0 81:1 125:1 485:1 847:1 3715:1 14772:1
0 68:1 82:1 123:1 173:1 483:1 14773:1
0 26:1 66:1 124:1 171:1 484:1 14510:1
0 24:1 67:1 125:1 161:1 172:1 14508:1
0 25:1 68:1 123:1 159:1 173:1 14509:1
0 26:1 66:1 124:1 160:1 171:1 5147:1
0 24:1 44:1 67:1 172:1 5145:1
0 25:1 42:1 125:1 5146:1 6386:1
