A 3:1 7:1 11:1 26:1 66:1 255:1 9899:1
mystery 10:1 24:1 26:1 67:1 256:1 9897:1
pasture 2:1 24:1 25:1 26:1 9898:1 9911:1
toxin 9:1 24:1 25:1 83:1 293:1 9909:1
has 25:1 81:1 140:1 291:1 296:1 9910:1
been 82:1 138:1 140:1 292:1 294:1 8354:1
blamed 125:1 138:1 139:1 295:1 533:1 8352:1
for 68:1 123:1 139:1 173:1 531:1 8353:1
the 66:1 104:1 124:1 171:1 532:1 551:1
deaths 67:1 102:1 125:1 161:1 172:1 549:1
of 103:1 123:1 159:1 550:1 572:1 13301:1
nearly 50:1 124:1 160:1 570:1 3980:1 13299:1
40 48:1 104:1 571:1 3978:1 6770:1 13300:1
cattle 49:1 102:1 125:1 770:1 3979:1 6768:1
on 50:1 103:1 123:1 215:1 768:1 6769:1
2 48:1 104:1 124:1 213:1 769:1 17147:1
properties 49:1 102:1 125:1 214:1 485:1 17145:1
at 17:1 103:1 123:1 483:1 9698:1 17146:1
East 10:1 11:1 15:1 17:1 124:1 484:1 9696:1
Gippsland 2:1 11:1 15:1 16:1 125:1 236:1 9697:1
in 9:1 16:1 17:1 123:1 234:1 1421:1
Victoria 11:1 15:1 62:1 124:1 235:1 1419:1
. 4:1 8:1 16:1 60:1 1420:1
Pathologist 2:1 3:1 7:1 10:1 11:1 17:1 24:1
Ian 2:1 9:1 10:1 11:1 15:1 17:1 25:1
Jerret 2:1 9:1 11:1 15:1 16:1 83:1 10322:1
says 9:1 16:1 81:1 572:1 899:1 10320:1
very 82:1 152:1 570:1 897:1 4979:1 10321:1
little 83:1 150:1 479:1 571:1 898:1 4977:1
is 81:1 140:1 151:1 477:1 3374:1 4978:1
known 82:1 125:1 138:1 473:1 478:1 3372:1
about 68:1 123:1 139:1 173:1 471:1 3373:1
the 10:1 66:1 124:1 152:1 171:1 472:1
fungal 2:1 26:1 67:1 150:1 172:1 9911:1
toxin 9:1 24:1 44:1 151:1 9909:1
, 25:1 42:1 821:1 824:1 9910:1
which 43:1 83:1 819:1 822:1 3650:1
affects 68:1 81:1 173:1 820:1 823:1 3648:1
the 10:1 66:1 82:1 104:1 171:1 3649:1
livers 2:1 67:1 102:1 125:1 161:1 172:1
of 9:1 103:1 104:1 123:1 159:1 6770:1
cattle 102:1 124:1 160:1 1043:1 1046:1 6768:1
when 10:1 103:1 140:1 1041:1 1044:1 6769:1
ingested 2:1 125:1 138:1 1042:1 1045:1 5042:1
off 9:1 68:1 123:1 139:1 173:1 5040:1
the 10:1 26:1 66:1 124:1 171:1 5041:1
pasture 2:1 24:1 62:1 67:1 172:1
. 4:1 8:1 9:1 25:1 60:1
He 3:1 7:1 11:1 83:1 846:1 1479:1 10322:1
says 74:1 81:1 847:1 1480:1 5369:1 10320:1
understanding 68:1 72:1 82:1 173:1 5367:1 10321:1
the 26:1 66:1 73:1 171:1 5368:1 9911:1
toxin 24:1 67:1 83:1 172:1 479:1 9909:1
is 25:1 81:1 125:1 477:1 5168:1 9910:1
like 74:1 82:1 123:1 478:1 4310:1 5166:1
finding 68:1 72:1 124:1 287:1 4308:1 5167:1
a 10:1 26:1 66:1 73:1 285:1 4309:1
needle 2:1 24:1 67:1 125:1 236:1 286:1
in 9:1 25:1 68:1 123:1 234:1 287:1
a 10:1 26:1 66:1 124:1 235:1 285:1
haystack 2:1 24:1 67:1 125:1 286:1 3122:1
because 9:1 25:1 123:1 848:1 863:1 3120:1
it 83:1 124:1 758:1 846:1 861:1 3121:1
's 81:1 572:1 756:1 847:1 862:1 4664:1
only 82:1 152:1 570:1 757:1 2495:1 4662:1
present 125:1 150:1 533:1 571:1 2493:1 4663:1
for 68:1 123:1 151:1 287:1 531:1 2494:1
a 66:1 124:1 152:1 285:1 532:1 18479:1
short 26:1 67:1 150:1 230:1 286:1 18477:1
period 24:1 125:1 151:1 161:1 228:1 18478:1
of 25:1 26:1 123:1 159:1 229:1 2498:1
time 24:1 124:1 125:1 160:1 236:1 2496:1
in 25:1 123:1 152:1 234:1 2497:1 4313:1
small 10:1 124:1 150:1 152:1 235:1 4311:1
localized 2:1 104:1 150:1 151:1 4312:1 8036:1
areas 9:1 44:1 102:1 151:1 8034:1
, 42:1 103:1 1043:1 1046:1 8035:1
when 43:1 68:1 173:1 1041:1 1044:1
the 10:1 66:1 152:1 171:1 1042:1 1045:1
climatic 2:1 67:1 104:1 150:1 172:1 1955:1
conditions 9:1 102:1 151:1 671:1 1052:1 1953:1
are 103:1 572:1 669:1 1050:1 1954:1 4340:1
just 570:1 572:1 670:1 1051:1 4338:1 4445:1
right 62:1 570:1 571:1 4339:1 4443:1
. 4:1 8:1 60:1 571:1 4444:1
`` 3:1 7:1 572:1 840:1 8033:1
Previously 11:1 570:1 841:1 1043:1 1046:1 8031:1
when 571:1 848:1 896:1 1041:1 1044:1 8032:1
we 10:1 110:1 846:1 894:1 1042:1 1045:1
tried 2:1 108:1 113:1 116:1 847:1 895:1
to 9:1 109:1 111:1 114:1 611:1 4889:1
investigate 68:1 112:1 115:1 323:1 609:1 4887:1
these 66:1 104:1 321:1 610:1 1190:1 4888:1
outbreaks 67:1 68:1 102:1 173:1 322:1 1188:1
the 66:1 103:1 152:1 171:1 1189:1 16331:1
actual 67:1 104:1 150:1 172:1 1478:1 16329:1
signs 102:1 125:1 151:1 236:1 1476:1 16330:1
in 68:1 103:1 123:1 173:1 234:1 1477:1
the 66:1 104:1 124:1 171:1 235:1 6770:1
cattle 10:1 67:1 102:1 110:1 172:1 6768:1
disappeared 2:1 103:1 108:1 572:1 6769:1 10541:1
fairly 9:1 109:1 570:1 572:1 4991:1 10539:1
quickly 131:1 134:1 570:1 571:1 4989:1 10540:1
and 129:1 132:1 571:1 914:1 977:1 4990:1
their 26:1 130:1 133:1 912:1 975:1 980:1
condition 24:1 110:1 913:1 976:1 978:1 2024:1
did 25:1 108:1 572:1 851:1 979:1 2022:1
n't 10:1 109:1 570:1 611:1 849:1 2023:1
re-occur 2:1 571:1 572:1 609:1 850:1 2897:1
even 9:1 570:1 610:1 1043:1 1046:1 2895:1
when 149:1 152:1 571:1 1041:1 1044:1 2896:1
other 104:1 147:1 150:1 410:1 1042:1 1045:1
animals 102:1 148:1 151:1 152:1 408:1 3395:1
such 103:1 125:1 150:1 158:1 409:1 3393:1
as 26:1 123:1 151:1 156:1 3394:1 4073:1
sheep 24:1 110:1 124:1 157:1 203:1 4071:1
were 25:1 108:1 140:1 201:1 4072:1 22241:1
run 109:1 125:1 138:1 202:1 770:1 22239:1
on 68:1 123:1 139:1 173:1 768:1 22240:1
the 10:1 26:1 66:1 124:1 171:1 769:1
pasture 2:1 24:1 67:1 172:1 572:1 3800:1
soon 9:1 25:1 125:1 570:1 2015:1 3798:1
after 62:1 123:1 571:1 2013:1 3799:1
. 4:1 8:1 60:1 124:1 2014:1
The 3:1 7:1 11:1 26:1 63:1 66:1 4073:1
sheep 24:1 64:1 67:1 110:1 2024:1 4071:1
did 25:1 108:1 572:1 851:1 2022:1 4072:1
n't 109:1 570:1 611:1 849:1 2023:1 7022:1
become 152:1 571:1 609:1 850:1 7020:1 8423:1
ill 131:1 134:1 150:1 610:1 7021:1 8421:1
and 110:1 129:1 132:1 151:1 1610:1 8422:1
had 68:1 108:1 130:1 133:1 1608:1 2834:1
no 66:1 104:1 109:1 1609:1 2832:1 7034:1
changes 67:1 102:1 125:1 236:1 2833:1 7032:1
in 68:1 103:1 123:1 173:1 234:1 7033:1
the 26:1 66:1 124:1 171:1 235:1 4427:1
blood 24:1 67:1 113:1 116:1 172:1 4425:1
to 25:1 111:1 114:1 611:1 4426:1 6302:1
indicate 26:1 112:1 115:1 609:1 6300:1 10700:1
liver 24:1 26:1 610:1 6301:1 10698:1 16124:1
damage 24:1 25:1 62:1 10699:1 16122:1
. 25:1 60:1 875:1 16123:1
'' 4:1 8:1 61:1 873:1
`` 3:1 7:1 840:1 848:1 3716:1
It 11:1 83:1 758:1 841:1 846:1 3714:1
's 26:1 81:1 756:1 847:1 869:1 3715:1
something 24:1 82:1 515:1 757:1 824:1 867:1
that 25:1 83:1 513:1 822:1 868:1 3554:1
comes 81:1 131:1 134:1 514:1 823:1 3552:1
and 10:1 82:1 83:1 129:1 132:1 3553:1
goes 2:1 81:1 130:1 133:1 572:1 899:1
very 9:1 82:1 570:1 572:1 897:1 4991:1
quickly 44:1 570:1 571:1 898:1 4989:1
, 42:1 571:1 821:1 824:1 4990:1
which 43:1 83:1 819:1 822:1 23648:1
makes 81:1 820:1 823:1 848:1 863:1 23646:1
it 82:1 572:1 846:1 861:1 3536:1 23647:1
virtually 152:1 570:1 847:1 862:1 3534:1 10343:1
impossible 113:1 116:1 150:1 571:1 3535:1 10341:1
to 111:1 114:1 151:1 611:1 10342:1 10520:1
get 68:1 112:1 115:1 287:1 609:1 10518:1
a 10:1 66:1 285:1 610:1 611:1 10519:1
handle 2:1 67:1 125:1 286:1 609:1 770:1
on 9:1 123:1 610:1 768:1 848:1 863:1
it 124:1 131:1 134:1 769:1 846:1 861:1
and 10:1 129:1 132:1 572:1 847:1 862:1
positively 2:1 130:1 133:1 570:1 671:1 9239:1
identify 9:1 68:1 173:1 571:1 669:1 9237:1
the 26:1 66:1 171:1 670:1 1808:1 9238:1
fungus 24:1 67:1 134:1 172:1 197:1 1806:1
or 25:1 68:1 132:1 173:1 195:1 1807:1
the 26:1 66:1 133:1 171:1 196:1 9911:1
toxin 24:1 62:1 67:1 172:1 9909:1
. 25:1 60:1 875:1 9910:1
'' 4:1 8:1 61:1 873:1
-LSB- 3:1 7:1 87:1 501:1 848:1 3716:1
It 11:1 83:1 88:1 479:1 502:1 846:1 3714:1
is 81:1 140:1 477:1 731:1 847:1 3715:1
suspected 68:1 82:1 138:1 478:1 650:1 729:1
this 66:1 83:1 139:1 479:1 648:1 730:1
is 67:1 68:1 81:1 287:1 477:1 649:1
a 26:1 66:1 82:1 285:1 478:1 980:1
condition 24:1 67:1 140:1 286:1 978:1 3374:1
known 25:1 125:1 138:1 158:1 979:1 3372:1
as 123:1 139:1 152:1 156:1 3373:1 10991:1
bovine 124:1 150:1 152:1 157:1 2267:1 10989:1
acute 10:1 26:1 150:1 151:1 2265:1 10990:1
hepatopathy 2:1 24:1 134:1 151:1 197:1 2266:1
or 9:1 25:1 132:1 152:1 195:1 10991:1
bovine 133:1 150:1 152:1 196:1 2267:1 10989:1
acute 26:1 150:1 151:1 2265:1 10700:1 10990:1
liver 24:1 26:1 151:1 2266:1 9311:1 10698:1
necrosis 24:1 25:1 62:1 9309:1 10699:1
. 4:1 8:1 25:1 60:1 9310:1
It 3:1 7:1 11:1 83:1 293:1 846:1 3714:1
has 81:1 140:1 291:1 847:1 1160:1 3715:1
occurred 82:1 138:1 292:1 572:1 1158:1 16961:1
regularly 125:1 139:1 236:1 570:1 1159:1 16959:1
in 10:1 26:1 123:1 234:1 571:1 16960:1
autumn 2:1 24:1 124:1 125:1 235:1 236:1
in 9:1 17:1 25:1 123:1 234:1 19973:1
Tasmania 11:1 15:1 44:1 124:1 235:1 19971:1
, 16:1 17:1 42:1 1421:1 19972:1
Victoria 11:1 15:1 43:1 44:1 1419:1
, 16:1 42:1 131:1 134:1 1420:1
and 17:1 43:1 129:1 132:1 8009:1
South 11:1 15:1 17:1 130:1 133:1 8007:1 8480:1
Australia 11:1 15:1 16:1 125:1 5186:1 8008:1 8478:1
over 16:1 68:1 123:1 173:1 5184:1 8479:1
the 66:1 124:1 152:1 171:1 5185:1 5720:1
past 67:1 150:1 152:1 172:1 5718:1 8492:1
few 104:1 150:1 151:1 350:1 5719:1 8490:1
years 62:1 102:1 151:1 348:1 8491:1
. 4:1 8:1 60:1 103:1 349:1
Some 3:1 7:1 11:1 66:1 572:1 9315:1 22850:1
originally 67:1 140:1 570:1 3323:1 9316:1 22848:1
thought 138:1 571:1 848:1 863:1 3321:1 22849:1
it 110:1 139:1 275:1 846:1 861:1 3322:1
was 108:1 152:1 273:1 847:1 862:1 2267:1
acute 109:1 150:1 152:1 274:1 2265:1 23288:1
facial 10:1 26:1 150:1 151:1 2266:1 23286:1
eczema 2:1 24:1 134:1 151:1 2072:1 23287:1
but 9:1 25:1 68:1 132:1 650:1 2070:1
this 66:1 83:1 133:1 293:1 648:1 2071:1
has 67:1 81:1 140:1 291:1 296:1 649:1
been 82:1 138:1 140:1 292:1 294:1 17246:1
eliminated 125:1 138:1 139:1 158:1 295:1 17244:1
as 68:1 123:1 139:1 156:1 173:1 17245:1
the 26:1 66:1 124:1 157:1 171:1 3248:1
cause 24:1 62:1 67:1 172:1 3246:1
. 4:1 8:1 25:1 60:1 3247:1
Retrospective 2:1 3:1 7:1 11:1 131:1 134:1 150:1
and 9:1 129:1 132:1 151:1 152:1 5711:1
current 130:1 133:1 150:1 152:1 2387:1 5709:1
epidemiological 104:1 150:1 151:1 2385:1 2729:1 5710:1
studies 102:1 151:1 671:1 2386:1 2727:1 10163:1
show 103:1 125:1 515:1 669:1 2728:1 10161:1
that 68:1 123:1 173:1 513:1 670:1 10162:1
the 10:1 26:1 66:1 124:1 171:1 514:1
pasture 2:1 24:1 67:1 104:1 172:1 3317:1
species 9:1 10:1 25:1 102:1 152:1 3315:1
rough 2:1 89:1 103:1 150:1 503:1 3316:1
-LSB- 9:1 10:1 87:1 151:1 152:1 501:1
bristly 2:1 88:1 95:1 150:1 502:1 641:1
-RSB- 9:1 10:1 26:1 93:1 151:1 639:1
dogtail 2:1 24:1 89:1 94:1 640:1
-LRB- 9:1 25:1 50:1 87:1 1268:1
_ 10:1 26:1 48:1 88:1 1266:1
Cynosurus 2:1 10:1 11:1 24:1 26:1 49:1 1267:1
