0 2:1 3:1 7:1 11:1 24:1 125:1 161:1
0 9:1 25:1 123:1 140:1 159:1 10847:1
0 26:1 124:1 138:1 160:1 4427:1 10845:1
0 24:1 104:1 139:1 4425:1 5543:1 10846:1
0 25:1 102:1 125:1 206:1 4426:1 5541:1
0 17:1 103:1 123:1 204:1 5542:1 12962:1
0 10:1 11:1 15:1 50:1 124:1 205:1 12960:1
0 2:1 16:1 48:1 62:1 12961:1
0 4:1 8:1 9:1 49:1 60:1
0 2:1 3:1 7:1 11:1 15:1 32:1
0 9:1 16:1 30:1 65:1 68:1
0 10:1 11:1 31:1 63:1 66:1 152:1
0 2:1 11:1 26:1 64:1 67:1 150:1 1172:1
0 9:1 24:1 26:1 151:1 1170:1 8771:1
0 24:1 25:1 44:1 1171:1 8769:1
0 10:1 17:1 25:1 42:1 8770:1
0 2:1 10:1 11:1 15:1 17:1 43:1
0 2:1 9:1 11:1 15:1 16:1 44:1
0 9:1 16:1 42:1 110:1 890:1
0 43:1 108:1 125:1 236:1 888:1
0 104:1 109:1 123:1 234:1 889:1 2975:1
0 102:1 124:1 140:1 235:1 1745:1 2973:1
0 26:1 103:1 138:1 1743:1 2974:1 6500:1
0 24:1 125:1 139:1 515:1 1744:1 6498:1
0 17:1 25:1 123:1 513:1 6499:1 12962:1
0 11:1 15:1 110:1 124:1 514:1 1610:1 12960:1
0 10:1 16:1 108:1 140:1 1608:1 12961:1
0 2:1 26:1 109:1 138:1 1609:1 4427:1
0 9:1 24:1 104:1 139:1 4425:1 5543:1
0 25:1 102:1 125:1 206:1 4426:1 5541:1
0 103:1 123:1 152:1 204:1 4043:1 5542:1
0 11:1 104:1 124:1 150:1 205:1 335:1 4041:1
0 89:1 102:1 151:1 333:1 503:1 4042:1
0 74:1 87:1 103:1 334:1 501:1 12038:1
0 72:1 88:1 125:1 206:1 502:1 12036:1
0 73:1 95:1 123:1 204:1 641:1 12037:1
0 68:1 93:1 124:1 173:1 205:1 639:1
0 66:1 94:1 152:1 171:1 188:1 640:1
0 26:1 67:1 150:1 172:1 186:1 4787:1
0 24:1 125:1 151:1 161:1 187:1 4785:1
0 25:1 123:1 152:1 159:1 4786:1 6695:1
0 26:1 124:1 150:1 160:1 6693:1 6698:1
0 24:1 26:1 151:1 743:1 6694:1 6696:1
0 24:1 25:1 89:1 503:1 741:1 6697:1
0 25:1 87:1 152:1 501:1 742:1 5516:1
