Human 3:1 7:1 11:1 26:1 150:1 1581:1 6440:1
anthrax 24:1 104:1 151:1 191:1 1582:1 6438:1
cases 25:1 102:1 125:1 189:1 236:1 6439:1
in 10:1 17:1 103:1 123:1 190:1 234:1
Murshidabad 2:1 11:1 15:1 44:1 124:1 235:1
, 9:1 14:1 16:1 17:1 42:1
West 11:1 12:1 15:1 17:1 43:1 19493:1
Bengal 11:1 13:1 15:1 16:1 50:1 4565:1 19491:1
--------------------------------------------------- 16:1 48:1 62:1 4563:1 19492:1
. 4:1 8:1 49:1 60:1 4564:1
In 3:1 7:1 11:1 68:1 123:1 173:1 1182:1
the 66:1 124:1 152:1 171:1 1085:1 1183:1
last 50:1 67:1 150:1 172:1 185:1 1083:1
3 48:1 104:1 151:1 183:1 1084:1 7439:1
months 49:1 102:1 184:1 1058:1 1061:1 7437:1
more 103:1 125:1 1056:1 1059:1 2477:1 7438:1
than 50:1 123:1 1057:1 1060:1 2475:1 6473:1
30 26:1 48:1 124:1 2476:1 6440:1 6471:1
anthrax 24:1 49:1 104:1 191:1 6438:1 6472:1
cases 25:1 102:1 189:1 668:1 671:1 6439:1
have 103:1 140:1 190:1 296:1 666:1 669:1
been 107:1 138:1 140:1 294:1 667:1 670:1
reported 105:1 125:1 138:1 139:1 206:1 295:1
from 10:1 17:1 106:1 123:1 139:1 204:1
Murshidabad 2:1 11:1 15:1 17:1 124:1 205:1 281:1
District 9:1 11:1 15:1 16:1 125:1 161:1 279:1
of 14:1 16:1 17:1 123:1 159:1 280:1
West 11:1 12:1 15:1 17:1 124:1 160:1 19493:1
Bengal 11:1 13:1 15:1 16:1 125:1 236:1 19491:1
in 16:1 17:1 123:1 234:1 12692:1 19492:1
India 11:1 15:1 62:1 124:1 235:1 12690:1
. 4:1 8:1 16:1 60:1 12691:1
The 3:1 7:1 11:1 63:1 66:1 104:1 191:1
cases 64:1 67:1 102:1 110:1 189:1 203:1
were 103:1 108:1 140:1 190:1 201:1 2216:1
found 109:1 138:1 202:1 572:1 2214:1 2963:1
mainly 125:1 139:1 236:1 570:1 2215:1 2961:1
in 68:1 123:1 173:1 234:1 571:1 2962:1
the 10:1 17:1 66:1 124:1 171:1 235:1
Hariharpara 2:1 11:1 15:1 67:1 131:1 134:1 172:1
and 9:1 10:1 16:1 17:1 129:1 132:1
Domkal 2:1 11:1 15:1 104:1 130:1 133:1 8036:1
areas 9:1 16:1 62:1 102:1 8034:1
. 4:1 8:1 60:1 103:1 8035:1
In 3:1 7:1 11:1 68:1 123:1 413:1 1182:1
all 66:1 104:1 124:1 191:1 411:1 1183:1
cases 67:1 102:1 189:1 412:1 1361:1 1364:1
there 103:1 110:1 190:1 275:1 1359:1 1362:1
was 68:1 108:1 273:1 287:1 1360:1 1363:1
a 10:1 26:1 66:1 109:1 274:1 285:1
history 2:1 24:1 67:1 125:1 161:1 286:1
of 9:1 25:1 74:1 123:1 159:1 10844:1
eating 26:1 72:1 124:1 160:1 10842:1 11978:1
meat 24:1 73:1 125:1 206:1 10843:1 11976:1
from 25:1 68:1 123:1 204:1 287:1 11977:1
a 66:1 124:1 152:1 205:1 285:1 6818:1
sick 26:1 67:1 150:1 286:1 6698:1 6816:1
cow 24:1 62:1 151:1 6696:1 6817:1
. 4:1 8:1 25:1 60:1 6697:1
In 3:1 7:1 11:1 14:1 17:1 123:1 1182:1
West 11:1 12:1 15:1 17:1 124:1 1183:1 19493:1
Bengal 11:1 13:1 15:1 16:1 68:1 650:1 19491:1
this 16:1 66:1 68:1 287:1 648:1 19492:1
a 66:1 67:1 152:1 285:1 649:1 8516:1
common 26:1 67:1 150:1 286:1 8514:1 16943:1
practice 24:1 125:1 151:1 236:1 8515:1 16941:1
in 25:1 68:1 123:1 234:1 413:1 16942:1
all 10:1 66:1 124:1 152:1 235:1 411:1
tribal 2:1 67:1 104:1 150:1 412:1 8036:1
areas 9:1 102:1 151:1 158:1 572:1 8034:1
as 103:1 156:1 570:1 572:1 4394:1 8035:1
well 125:1 157:1 158:1 570:1 571:1 4392:1
as 123:1 125:1 156:1 236:1 571:1 4393:1
in 123:1 124:1 152:1 157:1 234:1 10898:1
poor 104:1 124:1 150:1 235:1 4943:1 10896:1
communities 32:1 102:1 151:1 1274:1 4941:1 10897:1
-- 30:1 103:1 125:1 485:1 1272:1 4942:1
at 31:1 123:1 483:1 524:1 527:1 1273:1
least 124:1 484:1 522:1 525:1 848:1 896:1
we 523:1 526:1 671:1 846:1 894:1 1052:1
are 74:1 669:1 847:1 895:1 1050:1 5012:1
getting 68:1 72:1 650:1 670:1 1051:1 5010:1
this 66:1 73:1 152:1 648:1 5011:1 16514:1
constant 10:1 26:1 67:1 150:1 649:1 16512:1
history 2:1 24:1 125:1 151:1 533:1 16513:1
for 9:1 25:1 68:1 123:1 287:1 531:1
a 66:1 124:1 285:1 532:1 572:1 21761:1
pretty 67:1 152:1 286:1 570:1 10685:1 21759:1
long 26:1 150:1 571:1 2498:1 10683:1 21760:1
time 24:1 62:1 151:1 2496:1 10684:1
. 4:1 8:1 25:1 60:1 2497:1
Interestingly 2:1 3:1 7:1 11:1 44:1 570:1
, 9:1 42:1 571:1 848:1 896:1
we 43:1 671:1 846:1 894:1 1052:1
are 572:1 669:1 847:1 895:1 1050:1 1097:1
not 74:1 570:1 670:1 1051:1 1095:1 5012:1
getting 72:1 104:1 191:1 571:1 1096:1 5010:1
