A 3:1 7:1 11:1 66:1 152:1 255:1 4043:1
British 10:1 11:1 26:1 67:1 150:1 256:1 4041:1
aid 2:1 24:1 26:1 151:1 4042:1 23351:1
worker 9:1 24:1 25:1 74:1 12038:1 23349:1
suffering 25:1 72:1 125:1 206:1 12036:1 23350:1
from 68:1 73:1 123:1 173:1 204:1 12037:1
the 66:1 124:1 171:1 205:1 572:1 827:1
highly 67:1 152:1 172:1 570:1 825:1 2372:1
infectious 26:1 150:1 571:1 743:1 826:1 2370:1
disease 24:1 26:1 151:1 741:1 2371:1 19829:1
Lassa 11:1 24:1 25:1 26:1 742:1 1541:1 19827:1
fever 24:1 25:1 83:1 293:1 1539:1 19828:1
has 25:1 81:1 140:1 291:1 386:1 1540:1
died 62:1 82:1 138:1 292:1 384:1
. 4:1 8:1 60:1 139:1 385:1
-LSB- 3:1 7:1 87:1 501:1 848:1 1481:1
He 11:1 88:1 95:1 502:1 641:1 846:1 1479:1
-RSB- 93:1 110:1 639:1 847:1 1480:1 6731:1
caught 68:1 94:1 108:1 173:1 640:1 6729:1
the 26:1 66:1 86:1 109:1 171:1 6730:1
virus 24:1 67:1 84:1 125:1 172:1 2021:1
while 25:1 74:1 85:1 123:1 2019:1 4637:1
working 72:1 124:1 125:1 236:1 2020:1 4635:1
in 10:1 17:1 73:1 123:1 234:1 4636:1
Sierra 2:1 10:1 11:1 15:1 17:1 124:1 235:1
Leone 2:1 9:1 11:1 15:1 16:1 62:1
. 4:1 8:1 9:1 16:1 60:1
He 3:1 7:1 11:1 110:1 275:1 846:1 1479:1
was 74:1 108:1 273:1 847:1 1367:1 1480:1
being 72:1 109:1 140:1 274:1 1013:1 1365:1
treated 73:1 125:1 138:1 236:1 1011:1 1366:1
in 68:1 123:1 139:1 234:1 1012:1 1022:1
an 26:1 66:1 124:1 235:1 1020:1 2306:1
isolation 24:1 26:1 67:1 1021:1 2304:1 7361:1
unit 24:1 25:1 125:1 485:1 2305:1 7359:1
at 25:1 68:1 123:1 173:1 483:1 7360:1
the 66:1 124:1 152:1 171:1 484:1 2372:1
infectious 67:1 104:1 150:1 172:1 2370:1 7313:1
diseases 10:1 26:1 102:1 151:1 2371:1 7311:1
centre 2:1 24:1 103:1 125:1 485:1 7312:1
at 9:1 10:1 17:1 25:1 123:1 483:1
Coppetts 2:1 11:1 15:1 17:1 124:1 484:1 19655:1
Wood 9:1 11:1 15:1 16:1 17:1 755:1 19653:1
Hospital 11:1 15:1 16:1 125:1 236:1 753:1 19654:1
in 16:1 123:1 152:1 234:1 754:1 4343:1
north 17:1 124:1 150:1 235:1 3959:1 4341:1
London 11:1 15:1 62:1 151:1 3957:1 4342:1
. 4:1 8:1 16:1 60:1 3958:1
Although 3:1 7:1 11:1 89:1 123:1 503:1 2820:1
-LSB- 87:1 124:1 501:1 914:1 2821:1 5006:1
his 88:1 95:1 502:1 641:1 912:1 5004:1
-RSB- 26:1 93:1 639:1 913:1 980:1 5005:1
condition 10:1 24:1 94:1 110:1 640:1 978:1
stabilised 2:1 25:1 108:1 125:1 979:1 2015:1
after 9:1 109:1 123:1 848:1 2013:1 5213:1
he 110:1 124:1 275:1 846:1 2014:1 5211:1
was 108:1 140:1 273:1 847:1 1520:1 5212:1
given 109:1 138:1 152:1 274:1 941:1 1518:1
anti-viral 10:1 26:1 139:1 150:1 939:1 1519:1
therapy 2:1 24:1 44:1 151:1 940:1
, 9:1 25:1 42:1 848:1 5213:1
he 43:1 110:1 846:1 2720:1 5211:1
developed 68:1 108:1 287:1 847:1 2718:1 5212:1
a 26:1 66:1 109:1 285:1 2719:1 15140:1
chest 24:1 26:1 67:1 286:1 401:1 15138:1
infection 24:1 25:1 131:1 134:1 399:1 15139:1
and 25:1 129:1 132:1 400:1 848:1 5213:1
he 110:1 130:1 133:1 846:1 5211:1 19847:1
deteriorated 62:1 108:1 847:1 5212:1 19845:1
. 4:1 8:1 60:1 109:1 19846:1
A 3:1 7:1 11:1 26:1 66:1 255:1 10031:1
spokeswoman 24:1 67:1 125:1 256:1 485:1 10029:1
at 25:1 68:1 123:1 173:1 483:1 10030:1
the 26:1 66:1 124:1 171:1 484:1 878:1
hospital 24:1 67:1 110:1 172:1 876:1 890:1
said 25:1 108:1 848:1 877:1 888:1 5213:1
he 109:1 110:1 386:1 846:1 889:1 5211:1
died 108:1 125:1 161:1 384:1 847:1 5212:1
of 26:1 109:1 123:1 159:1 385:1 16127:1
heart 24:1 26:1 124:1 160:1 15170:1 16125:1
failure 24:1 25:1 62:1 15168:1 16126:1
. 4:1 8:1 25:1 60:1 15169:1
In 3:1 7:1 11:1 123:1 914:1 1182:1 5006:1
his 124:1 152:1 912:1 1183:1 1523:1 5004:1
early 10:1 104:1 150:1 913:1 1521:1 5005:1
50s 2:1 102:1 131:1 134:1 151:1 1522:1
and 9:1 103:1 125:1 129:1 132:1 206:1
from 17:1 123:1 130:1 133:1 204:1 22133:1
Chatham 11:1 15:1 44:1 124:1 205:1 22131:1
, 10:1 16:1 17:1 42:1 22132:1
Kent 2:1 11:1 15:1 43:1 44:1
, 9:1 16:1 42:1 89:1 503:1
-LSB- 43:1 87:1 501:1 848:1 5213:1
he 88:1 95:1 502:1 641:1 846:1 5211:1
-RSB- 93:1 110:1 275:1 639:1 847:1 5212:1
was 74:1 94:1 108:1 273:1 640:1 4637:1
working 72:1 109:1 125:1 274:1 770:1 4635:1
on 68:1 73:1 123:1 287:1 768:1 4636:1
a 26:1 66:1 124:1 285:1 769:1 11735:1
contract 24:1 67:1 125:1 286:1 533:1 11733:1
for 25:1 68:1 123:1 173:1 531:1 11734:1
the 17:1 66:1 124:1 171:1 532:1 1589:1
Department 11:1 15:1 67:1 125:1 172:1 533:1 1587:1
for 16:1 17:1 123:1 531:1 1588:1 8225:1
International 11:1 15:1 17:1 124:1 532:1 8223:1 11219:1
Development 11:1 15:1 16:1 125:1 236:1 8224:1 11217:1
in 16:1 68:1 123:1 173:1 234:1 11218:1
the 14:1 66:1 124:1 152:1 171:1 235:1
West 11:1 12:1 67:1 150:1 152:1 172:1 17552:1
African 11:1 13:1 26:1 150:1 151:1 518:1 17550:1
state 24:1 62:1 151:1 516:1 17551:1
. 4:1 8:1 25:1 60:1 517:1
He 3:1 7:1 11:1 110:1 275:1 846:1 1479:1
was 108:1 140:1 273:1 847:1 1480:1 18194:1
flown 109:1 125:1 138:1 143:1 274:1 18192:1
by 26:1 123:1 139:1 141:1 1574:1 18193:1
air 24:1 26:1 124:1 142:1 1572:1 19859:1
ambulance 24:1 25:1 125:1 206:1 1573:1 19857:1
from 17:1 25:1 123:1 204:1 19858:1 23240:1
Freetown 11:1 15:1 44:1 124:1 205:1 23238:1
, 16:1 42:1 68:1 173:1 23239:1
the 26:1 43:1 66:1 171:1 10247:1
capital 24:1 67:1 125:1 161:1 172:1 10245:1
of 10:1 17:1 25:1 123:1 159:1 10246:1
Sierra 2:1 10:1 11:1 15:1 17:1 124:1 160:1
Leone 2:1 9:1 11:1 15:1 16:1 44:1
, 9:1 16:1 42:1 1061:1 13076:1
earlier 43:1 68:1 650:1 1059:1 13074:1
this 26:1 66:1 648:1 1060:1 5366:1 13075:1
month 24:1 67:1 125:1 398:1 649:1 5364:1
with 25:1 123:1 140:1 396:1 731:1 5365:1
suspected 26:1 124:1 138:1 397:1 729:1 16808:1
malaria 24:1 134:1 139:1 197:1 730:1 16806:1
or 25:1 26:1 132:1 195:1 16807:1 23267:1
typhoid 24:1 44:1 133:1 196:1 23265:1
, 25:1 42:1 134:1 2072:1 23266:1
but 43:1 110:1 132:1 275:1 2070:1
was 108:1 133:1 273:1 572:1 2071:1 15611:1
finally 109:1 140:1 274:1 570:1 1397:1 15609:1
diagnosed 125:1 138:1 158:1 571:1 1395:1 15610:1
as 74:1 123:1 139:1 156:1 1396:1 6839:1
having 17:1 72:1 124:1 157:1 6837:1 19829:1
Lassa 11:1 15:1 26:1 73:1 1541:1 6838:1 19827:1
fever 16:1 24:1 125:1 1539:1 2015:1 19828:1
after 25:1 68:1 123:1 287:1 1540:1 2013:1
a 10:1 26:1 66:1 124:1 285:1 2014:1
battery 2:1 24:1 67:1 125:1 161:1 286:1
of 9:1 10:1 25:1 123:1 152:1 159:1
specialised 2:1 104:1 124:1 150:1 160:1 1352:1
tests 9:1 62:1 102:1 151:1 1350:1
. 4:1 8:1 60:1 103:1 1351:1
Only 3:1 7:1 11:1 50:1 299:1 570:1 3297:1
12 48:1 104:1 191:1 297:1 571:1 3298:1
cases 49:1 102:1 125:1 161:1 189:1 298:1
of 17:1 103:1 123:1 159:1 190:1 19829:1
Lassa 11:1 15:1 26:1 124:1 160:1 1541:1 19827:1
fever 16:1 24:1 668:1 671:1 1539:1 19828:1
have 25:1 140:1 296:1 666:1 669:1 1540:1
been 138:1 140:1 294:1 667:1 670:1 1397:1
