Ebola 3:1 7:1 11:1 15:1 152:1 4818:1 11087:1
haemorrhagic 16:1 26:1 150:1 1541:1 4819:1 11085:1
fever 24:1 125:1 151:1 236:1 1539:1 11086:1
in 17:1 25:1 123:1 234:1 1540:1 16631:1
Uganda 11:1 15:1 32:1 124:1 235:1 635:1 16629:1
- 16:1 30:1 633:1 728:1 4694:1 16630:1
WHO 11:1 17:1 31:1 634:1 726:1 4692:1 7394:1
Update 11:1 15:1 50:1 356:1 727:1 4693:1 7392:1
36 16:1 48:1 50:1 354:1 719:1 7393:1
-------------------------------------------------- 48:1 49:1 62:1 355:1 717:1
. 4:1 8:1 49:1 60:1 718:1
As 3:1 7:1 11:1 123:1 125:1 161:1 1137:1
of 17:1 123:1 124:1 159:1 1138:1 10808:1
Fri 11:1 15:1 50:1 124:1 160:1 2255:1 10806:1
29 16:1 17:1 48:1 2253:1 10807:1 11234:1
Dec 11:1 15:1 49:1 50:1 1742:1 2254:1 11232:1
2000 16:1 44:1 48:1 1740:1 11233:1
, 42:1 49:1 68:1 173:1 1741:1
the 17:1 43:1 66:1 171:1 18284:1
Ugandan 11:1 15:1 17:1 67:1 172:1 2525:1 18282:1
Ministry 11:1 15:1 16:1 125:1 161:1 2523:1 18283:1
of 16:1 17:1 123:1 159:1 1310:1 2524:1
Health 11:1 15:1 83:1 124:1 160:1 293:1 1308:1
has 16:1 81:1 107:1 140:1 291:1 1309:1
reported 68:1 82:1 105:1 138:1 173:1 292:1
the 26:1 66:1 71:1 106:1 139:1 171:1
following 24:1 32:1 67:1 69:1 172:1
: 17:1 25:1 30:1 70:1 18296:1
Gulu 11:1 15:1 26:1 31:1 4868:1 18294:1
district 16:1 24:1 32:1 4866:1 18295:1
: 25:1 30:1 125:1 4867:1 8291:1
From 10:1 11:1 31:1 50:1 123:1 8289:1
19-29 2:1 17:1 48:1 124:1 8290:1 11234:1
Dec 9:1 11:1 15:1 49:1 50:1 1742:1 11232:1
2000 16:1 44:1 48:1 1740:1 11233:1
, 42:1 49:1 1361:1 1364:1 1741:1
there 43:1 110:1 275:1 1359:1 1362:1
was 68:1 108:1 273:1 287:1 1360:1 1363:1
a 26:1 66:1 109:1 260:1 274:1 285:1
total 24:1 67:1 125:1 161:1 258:1 286:1
of 25:1 50:1 123:1 159:1 259:1 1892:1
5 48:1 124:1 152:1 160:1 1890:1 4067:1
new 49:1 140:1 150:1 578:1 1891:1 4065:1
confirmed 104:1 138:1 151:1 191:1 576:1 4066:1
cases 102:1 131:1 134:1 139:1 189:1 577:1
and 50:1 103:1 129:1 132:1 190:1 251:1
6 48:1 104:1 130:1 133:1 249:1 551:1
deaths 49:1 62:1 102:1 250:1 549:1
. 4:1 8:1 60:1 103:1 550:1
The 3:1 7:1 11:1 63:1 66:1 584:1 587:1
most 64:1 67:1 152:1 582:1 585:1 590:1
recent 26:1 150:1 583:1 586:1 588:1 1349:1
laboratory 24:1 110:1 151:1 578:1 589:1 1347:1
confirmed 25:1 26:1 108:1 576:1 866:1 1348:1
case 24:1 109:1 125:1 236:1 577:1 864:1
in 17:1 25:1 123:1 234:1 865:1 18296:1
Gulu 11:1 15:1 110:1 124:1 235:1 386:1 18294:1
died 16:1 108:1 125:1 384:1 770:1 18295:1
on 17:1 109:1 123:1 385:1 768:1 10808:1
Fri 11:1 15:1 50:1 124:1 769:1 7412:1 10806:1
22 16:1 17:1 48:1 5531:1 7410:1 10807:1
December 11:1 15:1 49:1 62:1 5529:1 7411:1
. 4:1 8:1 16:1 60:1 5530:1
The 3:1 7:1 11:1 63:1 66:1 152:1 17570:1
cumulative 64:1 67:1 150:1 152:1 260:1 17568:1
total 26:1 150:1 151:1 258:1 548:1 17569:1
number 24:1 125:1 151:1 161:1 259:1 546:1
of 25:1 104:1 123:1 159:1 191:1 547:1
cases 102:1 124:1 125:1 160:1 189:1 533:1
for 17:1 103:1 123:1 190:1 531:1 18296:1
Gulu 11:1 15:1 83:1 124:1 479:1 532:1 18294:1
is 16:1 81:1 477:1 572:1 1259:1 18295:1
now 10:1 50:1 82:1 478:1 570:1 1257:1
394 2:1 48:1 104:1 191:1 571:1 1258:1
cases 9:1 49:1 102:1 131:1 134:1 189:1
and 10:1 50:1 103:1 129:1 132:1 190:1
149 2:1 48:1 104:1 130:1 133:1 551:1
deaths 9:1 49:1 62:1 102:1 549:1
. 4:1 8:1 60:1 103:1 550:1
Masindi 2:1 3:1 7:1 11:1 15:1 26:1 4868:1
district 9:1 16:1 24:1 32:1 4866:1
: 25:1 30:1 125:1 4867:1 8291:1
From 10:1 11:1 31:1 50:1 123:1 8289:1
19-29 2:1 17:1 48:1 124:1 8290:1 11234:1
Dec 9:1 11:1 15:1 49:1 50:1 1742:1 11232:1
2000 16:1 44:1 48:1 1740:1 11233:1
, 42:1 49:1 1361:1 1364:1 1741:1
there 43:1 668:1 671:1 1359:1 1362:1
have 140:1 296:1 666:1 669:1 1360:1 1363:1
been 68:1 138:1 294:1 667:1 670:1 2834:1
no 66:1 139:1 152:1 295:1 2832:1 4067:1
new 67:1 140:1 150:1 578:1 2833:1 4065:1
confirmed 104:1 138:1 151:1 191:1 576:1 4066:1
cases 102:1 134:1 139:1 189:1 577:1 2072:1
but 50:1 103:1 132:1 190:1 224:1 2070:1
1 26:1 48:1 133:1 222:1 662:1 2071:1
death 24:1 49:1 83:1 223:1 293:1 660:1
has 25:1 81:1 140:1 291:1 661:1 1160:1
occurred 62:1 82:1 138:1 292:1 1158:1
. 4:1 8:1 60:1 139:1 1159:1
The 3:1 7:1 11:1 63:1 66:1 152:1 1085:1
last 26:1 64:1 67:1 150:1 866:1 1083:1
case 24:1 110:1 151:1 275:1 864:1 1084:1
was 25:1 108:1 140:1 273:1 865:1 3101:1
