0 3:1 6:1 7:1 10:1 11:1 15:1 7392:1
0 1:1 2:1 16:1 50:1 251:1 7393:1
0 5:1 9:1 32:1 48:1 249:1 635:1
0 30:1 49:1 152:1 250:1 633:1 1076:1
0 31:1 150:1 152:1 634:1 1074:1 2267:1
0 150:1 151:1 152:1 1075:1 1550:1 2265:1
0 26:1 150:1 151:1 1548:1 2266:1 4577:1
0 24:1 50:1 151:1 1549:1 4575:1 21461:1
0 25:1 48:1 62:1 4576:1 21459:1
0 4:1 8:1 49:1 60:1 21460:1
0 3:1 7:1 11:1 123:1 125:1 161:1 1137:1
0 50:1 123:1 124:1 159:1 1138:1 2012:1
0 17:1 48:1 124:1 160:1 2010:1 5459:1
0 11:1 15:1 49:1 50:1 1334:1 2011:1 5457:1
0 16:1 44:1 48:1 1332:1 5458:1
0 17:1 42:1 49:1 1310:1 1333:1
0 11:1 15:1 17:1 43:1 1308:1 5684:1
0 11:1 15:1 16:1 83:1 293:1 1309:1 5682:1
0 16:1 81:1 140:1 291:1 3161:1 5683:1
0 82:1 104:1 138:1 292:1 3159:1 6392:1
0 102:1 125:1 139:1 161:1 3160:1 6390:1
0 50:1 103:1 123:1 159:1 2465:1 6391:1
0 48:1 104:1 124:1 160:1 2463:1 3854:1
0 49:1 102:1 728:1 998:1 2464:1 3852:1
0 103:1 668:1 671:1 726:1 996:1 3853:1
0 140:1 666:1 669:1 727:1 997:1 7022:1
0 138:1 572:1 667:1 670:1 7020:1 8423:1
0 125:1 139:1 398:1 570:1 7021:1 8421:1
0 123:1 152:1 396:1 571:1 1076:1 8422:1
0 124:1 150:1 152:1 397:1 1074:1 2267:1
0 150:1 151:1 152:1 1075:1 1550:1 2265:1
0 26:1 150:1 151:1 1548:1 2266:1 4577:1
0 24:1 89:1 151:1 1549:1 4575:1
0 25:1 26:1 87:1 4559:1 4576:1
0 11:1 24:1 88:1 95:1 4557:1
0 25:1 93:1 125:1 236:1 4558:1
0 17:1 94:1 123:1 234:1 17630:1
0 11:1 15:1 124:1 131:1 134:1 235:1 17628:1
0 16:1 17:1 129:1 132:1 4043:1 17629:1
0 11:1 15:1 17:1 130:1 133:1 284:1 4041:1
0 11:1 15:1 16:1 62:1 282:1 4042:1
0 4:1 8:1 16:1 60:1 283:1
0 3:1 7:1 11:1 66:1 104:1 191:1 2601:1
0 67:1 102:1 189:1 668:1 671:1 2602:1
0 103:1 134:1 190:1 666:1 669:1 3014:1
0 132:1 572:1 667:1 670:1 1115:1 3012:1
0 110:1 133:1 570:1 1113:1 3013:1 20603:1
0 108:1 113:1 116:1 571:1 1114:1 20601:1
0 17:1 109:1 111:1 114:1 5687:1 20602:1
0 11:1 15:1 17:1 112:1 115:1 5685:1 5690:1
0 11:1 15:1 16:1 134:1 197:1 5686:1 5688:1
0 16:1 132:1 195:1 611:1 668:1 5689:1
0 133:1 140:1 196:1 609:1 666:1 1610:1
0 138:1 152:1 610:1 667:1 1608:1 3431:1
0 26:1 139:1 150:1 839:1 1609:1 3429:1
0 24:1 125:1 151:1 398:1 837:1 3430:1
0 25:1 68:1 123:1 323:1 396:1 838:1
0 66:1 104:1 124:1 321:1 397:1 3854:1
0 62:1 67:1 102:1 322:1 3852:1
0 4:1 8:1 60:1 103:1 3853:1
0 3:1 7:1 11:1 63:1 66:1 104:1 5387:1
0 64:1 67:1 102:1 125:1 161:1 5385:1
0 68:1 103:1 123:1 159:1 173:1 5386:1
0 66:1 104:1 124:1 160:1 171:1 191:1
0 67:1 102:1 113:1 116:1 172:1 189:1
0 26:1 103:1 111:1 114:1 190:1 5657:1
0 24:1 112:1 115:1 671:1 1052:1 5655:1
0 25:1 125:1 158:1 669:1 1050:1 5656:1
0 83:1 123:1 156:1 670:1 1051:1 7988:1
0 32:1 81:1 124:1 157:1 7986:1
0 17:1 30:1 82:1 7987:1 17630:1
0 11:1 15:1 31:1 32:1 17628:1
0 16:1 30:1 125:1 1184:1 17629:1
0 11:1 31:1 68:1 123:1 287:1 1182:1
0 66:1 124:1 152:1 285:1 1183:1 8528:1
0 26:1 67:1 150:1 286:1 3245:1 8526:1
0 24:1 44:1 151:1 3243:1 8527:1
0 25:1 42:1 50:1 185:1 3244:1
0 43:1 48:1 104:1 183:1 1049:1
