Zimbabwe 3:1 7:1 11:1 15:1 152:1 12062:1 13308:1
foot-and-mouth 16:1 26:1 150:1 722:1 12060:1 13309:1
outbreak 24:1 104:1 151:1 720:1 12061:1 17978:1
spreads 25:1 102:1 572:1 721:1 3302:1 17976:1
south 50:1 103:1 570:1 3300:1 17216:1 17977:1
----------------------------------------------- 48:1 62:1 571:1 3301:1 17214:1
. 4:1 8:1 49:1 60:1 17215:1
An 3:1 7:1 11:1 26:1 66:1 657:1 722:1
outbreak 24:1 67:1 125:1 161:1 658:1 720:1
of 25:1 123:1 152:1 159:1 721:1 12062:1
foot-and-mouth 26:1 124:1 150:1 160:1 743:1 12060:1
disease 24:1 89:1 151:1 741:1 12061:1
-LRB- 25:1 26:1 87:1 742:1 10205:1
FMD 11:1 24:1 88:1 95:1 10203:1
-RRB- 25:1 93:1 125:1 236:1 10204:1
in 17:1 94:1 123:1 234:1 13310:1
Zimbabwe 11:1 15:1 83:1 124:1 235:1 293:1 13308:1
has 16:1 81:1 140:1 291:1 833:1 13309:1
spread 82:1 138:1 292:1 572:1 831:1 3302:1
south 125:1 139:1 206:1 570:1 832:1 3300:1
from 10:1 17:1 123:1 204:1 571:1 3301:1
Bulawayo 2:1 11:1 15:1 113:1 116:1 124:1 205:1
to 9:1 16:1 68:1 111:1 114:1 173:1
the 10:1 17:1 66:1 112:1 115:1 171:1
Beitbridge 2:1 11:1 15:1 26:1 67:1 172:1 4868:1
district 9:1 10:1 16:1 24:1 74:1 4866:1
bordering 2:1 17:1 25:1 72:1 4867:1 8009:1
South 9:1 11:1 15:1 17:1 73:1 8007:1 9056:1
Africa 11:1 15:1 16:1 44:1 8008:1 9054:1
, 16:1 42:1 68:1 1022:1 9055:1
an 26:1 43:1 66:1 1020:1 8180:1
industry 24:1 26:1 67:1 1021:1 8178:1 13313:1
official 24:1 25:1 110:1 890:1 8179:1 13311:1
said 25:1 62:1 108:1 888:1 13312:1
. 4:1 8:1 60:1 109:1 889:1
`` 3:1 7:1 840:1 845:1 848:1
We 11:1 668:1 671:1 841:1 843:1 846:1
