The 3:1 7:1 11:1 26:1 63:1 66:1 1172:1
health 24:1 64:1 67:1 104:1 1170:1 1415:1
authorities 25:1 102:1 125:1 161:1 1171:1 1413:1
of 10:1 17:1 103:1 123:1 159:1 1414:1
Aracatuba 2:1 11:1 15:1 89:1 124:1 160:1 503:1
-LSB- 9:1 16:1 17:1 87:1 501:1 1385:1
Sao 11:1 15:1 17:1 88:1 502:1 1383:1 1388:1
Paulo 11:1 15:1 16:1 26:1 518:1 1384:1 1386:1
state 16:1 24:1 95:1 516:1 641:1 1387:1
-RSB- 25:1 93:1 517:1 639:1 671:1 1052:1
are 10:1 74:1 94:1 640:1 669:1 1050:1
issuing 2:1 68:1 72:1 670:1 1022:1 1051:1
an 9:1 66:1 73:1 152:1 1020:1 1475:1
alert 67:1 125:1 150:1 473:1 1021:1 1473:1
about 68:1 123:1 151:1 471:1 1022:1 1474:1
an 66:1 124:1 152:1 472:1 1020:1 2399:1
epidemic 67:1 125:1 150:1 161:1 1021:1 2397:1
of 123:1 151:1 152:1 159:1 188:1 2398:1
human 10:1 124:1 150:1 152:1 160:1 186:1
visceral 2:1 10:1 26:1 150:1 151:1 187:1
leishmaniasis 2:1 9:1 24:1 125:1 151:1 236:1
in 9:1 25:1 50:1 123:1 234:1 6473:1
30 48:1 104:1 124:1 235:1 6134:1 6471:1
municipalities 49:1 102:1 125:1 161:1 6132:1 6472:1
of 68:1 103:1 123:1 159:1 173:1 6133:1
the 26:1 66:1 124:1 160:1 171:1 2054:1
region 24:1 62:1 67:1 172:1 2052:1
. 4:1 8:1 25:1 60:1 2053:1
In 3:1 7:1 11:1 50:1 123:1 806:1 1182:1
2002 44:1 48:1 124:1 804:1 1183:1
, 42:1 49:1 152:1 805:1 2387:1
epidemiological 26:1 43:1 98:1 150:1 2385:1
surveillance 24:1 96:1 107:1 110:1 151:1 2386:1
reported 25:1 50:1 97:1 105:1 108:1 14201:1
43 48:1 104:1 106:1 109:1 191:1 14199:1
cases 49:1 102:1 125:1 189:1 236:1 14200:1
in 103:1 104:1 123:1 190:1 234:1 2183:1
humans 74:1 102:1 124:1 235:1 2181:1 15005:1
resulting 72:1 103:1 125:1 236:1 2182:1 15003:1
in 50:1 73:1 123:1 234:1 554:1 15004:1
4 48:1 104:1 124:1 235:1 551:1 552:1
deaths 32:1 49:1 102:1 338:1 549:1 553:1
; 30:1 103:1 336:1 550:1 1361:1 1364:1
there 31:1 110:1 203:1 337:1 1359:1 1362:1
were 108:1 201:1 572:1 1360:1 1363:1 1442:1
also 50:1 109:1 202:1 215:1 570:1 1440:1
2 48:1 104:1 213:1 551:1 571:1 1441:1
deaths 49:1 102:1 125:1 214:1 236:1 549:1
in 50:1 56:1 103:1 123:1 234:1 550:1
2001 48:1 54:1 62:1 124:1 235:1
