------------------------------------------------------	0
.	0
The	0
following	0
report	0
summarizes	0
West	DIS
Nile	DIS
virus	DIS
-LRB-	0
WNV	DIS
-RRB-	0
surveillance	0
data	0
reported	0
to	0
CDC	0
through	0
ArboNET	0
and	0
verified	0
by	0
states	0
and	0
other	0
jurisdictions	0
as	0
of	0
Tue	0
13	0
Nov	0
2001	0
.	0
During	0
the	0
week	0
of	0
Wed	0
7	0
to	0
Tue	0
13	0
Nov	0
2001	0
,	0
3	0
human	0
cases	0
of	0
WNV	DIS
encephalitis	DIS
or	DIS
meningitis	DIS
were	0
reported	0
from	0
New	0
York	0
-LRB-	0
2	0
-RRB-	0
and	0
Louisiana	0
-LRB-	0
1	0
-RRB-	0
.	0
During	0
the	0
same	0
period	0
,	0
WNV	DIS
infections	DIS
were	0
reported	0
in	0
266	0
crows	0
,	0
15	0
other	0
birds	0
,	0
and	0
6	0
horses	0
.	0
A	0
total	0
of	0
17	0
WNV-positive	0
mosquito	0
pools	0
was	0
reported	0
from	0
2	0
jurisdictions	0
-LRB-	0
Pennsylvania	0
and	0
District	0
of	0
Columbia	0
-RRB-	0
.	0
During	0
2001	0
,	0
a	0
total	0
of	0
45	0
human	0
cases	0
of	0
WNV	DIS
encephalitis	DIS
or	DIS
meningitis	DIS
has	0
been	0
reported	0
from	0
New	0
York	0
-LRB-	0
12	0
-RRB-	0
,	0
Florida	0
-LRB-	0
10	0
-RRB-	0
,	0
Connecticut	0
-LRB-	0
6	0
-RRB-	0
,	0
Maryland	0
-LRB-	0
6	0
-RRB-	0
,	0
New	0
Jersey	0
-LRB-	0
6	0
-RRB-	0
,	0
Pennsylvania	0
-LRB-	0
3	0
-RRB-	0
,	0
Georgia	0
-LRB-	0
1	0
-RRB-	0
,	0
and	0
Louisiana	0
-LRB-	0
1	0
-RRB-	0
.	0
Among	0
these	0
45	0
cases	0
,	0
24	0
-LRB-	0
53	0
%	0
-RRB-	0
were	0
in	0
men	0
;	0
the	0
median	0
age	0
was	0
70	0
years	0
-LRB-	0
range	0
:	0
36	0
to	0
90	0
years	0
-RRB-	0
;	0
dates	0
of	0
illness	0
onset	0
ranged	0
from	0
13	0
Jul	0
to	0
7	0
Oct	0
2001	0
;	0
three	0
persons	0
died	0
.	0
During	0
2001	0
,	0
totals	0
of	0
4517	0
crows	0
and	0
1474	0
other	0
birds	0
with	0
WNV	DIS
infection	DIS
were	0
reported	0
from	0
26	0
states	0
and	0
the	0
District	0
of	0
Columbia	0
.	0
During	0
2001	0
,	0
176	0
WNV	DIS
infections	DIS
in	0
other	0
animals	0
-LRB-	0
all	0
horses	0
-RRB-	0
were	0
reported	0
from	0
14	0
states	0
-LRB-	0
Alabama	0
,	0
Connecticut	0
,	0
Florida	0
,	0
Georgia	0
,	0
Indiana	0
,	0
Kentucky	0
,	0
Louisiana	0
,	0
Massachusetts	0
,	0
Mississippi	0
,	0
New	0
York	0
,	0
North	0
Carolina	0
,	0
Pennsylvania	0
,	0
Tennessee	0
,	0
and	0
Virginia	0
-RRB-	0
.	0
During	0
2001	0
,	0
753	0
WNV-positive	0
mosquito	0
pools	0
were	0
reported	0
from	0
15	0
states	0
-LRB-	0
Connecticut	0
,	0
Florida	0
,	0
Georgia	0
,	0
Illinois	0
,	0
Kentucky	0
,	0
Maryland	0
,	0
Massachusetts	0
,	0
Michigan	0
,	0
New	0
Hampshire	0
,	0
New	0
Jersey	0
,	0
New	0
York	0
,	0
Ohio	0
,	0
Pennsylvania	0
,	0
Rhode	0
Island	0
,	0
and	0
Virginia	0
-RRB-	0
and	0
the	0
District	0
of	0
Columbia	0
.	0
Additional	0
information	0
about	0
WNV	DIS
activity	0
is	0
available	0
at	0
<	0
http://www.cdc.gov/ncidod/dvbid/westnile/index.htm	0
>	0
and	0
<	0
http://cindi.usgs.gov/hazard/event/west_nile/west_nile.html	0
>	0
.	0
-LSB-	0
On	0
Wed	0
14	0
Nov	0
2001	0
,	0
2	0
additional	0
cases	0
of	0
human	0
West	DIS
Nile	DIS
virus	DIS
infection	DIS
were	0
reported	0
from	0
Massachusetts	0
-LRB-	0
the	0
first	0
in	0
that	0
state	0
-RRB-	0
bringing	0
the	0
total	0
of	0
human	0
infections	DIS
to	0
at	0
least	0
47	0
for	0
the	0
2001	0
season	0
.	0
One	0
of	0
the	0
two	0
Massachusetts	0
patients	0
