O 3:1 7:1 11:1 39:1 110:1 8283:1 8288:1 Dolphins
O 11:1 40:1 108:1 125:1 8284:1 8286:1 8291:1 Died
O 11:1 26:1 109:1 123:1 8287:1 8289:1 8294:1 From
O 11:1 24:1 44:1 124:1 8290:1 8292:1 Toxin
O 25:1 42:1 104:1 4916:1 8293:1 ,
O 11:1 26:1 43:1 102:1 4914:1 8297:1 Tests
O 11:1 24:1 50:1 103:1 3095:1 4915:1 8295:1 Show
O 25:1 48:1 62:1 3093:1 8296:1 -------------------------------------------
O 4:1 8:1 49:1 60:1 3094:1 .
O 3:1 7:1 11:1 26:1 150:1 1943:1 8298:1 Preliminary
O 24:1 104:1 151:1 1343:1 1941:1 8299:1 test
O 25:1 102:1 671:1 1341:1 1942:1 6302:1 results
O 68:1 103:1 173:1 669:1 1342:1 6300:1 indicate
O 66:1 104:1 171:1 551:1 670:1 6301:1 the
O 67:1 102:1 125:1 161:1 172:1 549:1 deaths
O 103:1 123:1 159:1 491:1 550:1 1058:1 of
B-VIC 124:1 125:1 160:1 489:1 1056:1 2477:1 more
I-VIC 50:1 123:1 490:1 1057:1 2475:1 8303:1 than
I-VIC 48:1 104:1 124:1 2476:1 8301:1 8306:1 65
I-VIC 49:1 102:1 125:1 236:1 8302:1 8304:1 dolphins
O 68:1 103:1 123:1 173:1 234:1 8305:1 in
O 17:1 66:1 124:1 171:1 235:1 8309:1 the
O 11:1 15:1 67:1 172:1 1010:1 1439:1 8307:1 Panhandle
O 16:1 611:1 668:1 1008:1 1437:1 8308:1 may
O 140:1 296:1 609:1 666:1 1009:1 1438:1 have
O 138:1 140:1 294:1 610:1 667:1 1025:1 been
O 125:1 138:1 139:1 143:1 295:1 1023:1 caused
O 26:1 123:1 139:1 141:1 1024:1 8312:1 by
B-DIS 24:1 124:1 140:1 142:1 8310:1 8315:1 biotoxin
O 25:1 125:1 138:1 143:1 8311:1 8313:1 released
O 123:1 139:1 141:1 572:1 8314:1 8318:1 by
B-DIS 74:1 124:1 142:1 570:1 8316:1 8321:1 naturally
I-DIS 26:1 72:1 571:1 8317:1 8319:1 8324:1 occurring
I-DIS 24:1 62:1 73:1 8320:1 8322:1 algae
O 4:1 8:1 25:1 60:1 8323:1 .
O 3:1 7:1 11:1 15:1 17:1 8325:1 8330:1 Jane
O 11:1 15:1 16:1 44:1 8326:1 8328:1 Whaley
O 16:1 42:1 125:1 161:1 8329:1 ,
O 43:1 68:1 123:1 159:1 173:1 of
O 17:1 66:1 124:1 160:1 171:1 5495:1 the
O 11:1 15:1 17:1 67:1 172:1 5493:1 8333:1 National
O 11:1 15:1 16:1 131:1 134:1 5494:1 8331:1 Oceanic
O 16:1 17:1 129:1 132:1 8332:1 8336:1 and
O 11:1 15:1 17:1 130:1 133:1 6719:1 8334:1 Atmospheric
O 11:1 15:1 16:1 758:1 761:1 6717:1 8335:1 Administration
O 16:1 17:1 756:1 759:1 5495:1 6718:1 's
O 11:1 15:1 17:1 757:1 760:1 5493:1 8339:1 National
O 11:1 15:1 16:1 41:1 5494:1 8337:1 8342:1 Marine
O 11:1 16:1 17:1 39:1 4295:1 8338:1 8340:1 Fisheries
O 11:1 15:1 40:1 44:1 4293:1 8341:1 Service
O 16:1 42:1 110:1 890:1 4294:1 ,
O 43:1 108:1 152:1 888:1 8345:1 said
B-DIS 26:1 109:1 150:1 889:1 8343:1 8348:1 domoic
I-DIS 24:1 110:1 151:1 1610:1 8344:1 8346:1 acid
O 25:1 108:1 140:1 296:1 1608:1 8347:1 had
O 109:1 138:1 140:1 294:1 1609:1 2216:1 been
O 125:1 138:1 139:1 236:1 295:1 2214:1 found
O 26:1 123:1 139:1 234:1 2215:1 2585:1 in
O 24:1 104:1 124:1 235:1 1598:1 2583:1 water
O 25:1 62:1 102:1 1596:1 2584:1 samples
O 4:1 8:1 60:1 103:1 1597:1 .
O 3:1 7:1 11:1 26:1 150:1 8348:1 8349:1 Domoic
B-DIS 24:1 83:1 151:1 293:1 8346:1 8350:1 acid
O 25:1 81:1 140:1 291:1 296:1 8347:1 has
O 82:1 138:1 140:1 292:1 294:1 8354:1 been
O 125:1 138:1 139:1 295:1 533:1 8352:1 blamed
O 123:1 139:1 152:1 531:1 3737:1 8353:1 for
O 124:1 150:1 152:1 532:1 3735:1 8357:1 several
O 26:1 150:1 151:1 3736:1 8355:1 8360:1 marine
O 24:1 104:1 151:1 551:1 8356:1 8358:1 mammal
O 25:1 102:1 125:1 549:1 770:1 8359:1 deaths
O 68:1 103:1 123:1 173:1 550:1 768:1 on
O 14:1 17:1 66:1 124:1 171:1 769:1 the
O 11:1 12:1 15:1 17:1 67:1 172:1 8012:1 West
O 11:1 13:1 15:1 16:1 44:1 8010:1 Coast
O 16:1 42:1 848:1 7598:1 8011:1 ,
O 43:1 110:1 846:1 890:1 7596:1 she
O 62:1 108:1 847:1 888:1 7597:1 said
O 4:1 8:1 60:1 109:1 889:1 .
O 3:1 7:1 68:1 87:1 501:1 659:1 -LSB-
O 11:1 66:1 88:1 152:1 502:1 657:1 8363:1 An
O 26:1 67:1 150:1 658:1 2999:1 8361:1 excellent
O 24:1 125:1 151:1 161:1 2997:1 8362:1 review
O 25:1 123:1 152:1 159:1 2998:1 8345:1 of
B-DIS 26:1 124:1 150:1 160:1 8343:1 8348:1 domoic
I-DIS 24:1 125:1 151:1 236:1 8344:1 8346:1 acid
O 25:1 104:1 123:1 234:1 3254:1 8347:1 in
O 102:1 124:1 235:1 1010:1 1082:1 3252:1 mammals
O 103:1 611:1 734:1 1008:1 1080:1 3253:1 can
O 140:1 609:1 732:1 1009:1 1081:1 2216:1 be
O 125:1 138:1 236:1 610:1 733:1 2214:1 found
O 123:1 139:1 234:1 842:1 2215:1 in
O 124:1 152:1 235:1 840:1 8366:1 ``
O 11:1 44:1 150:1 841:1 8364:1 Mammal
O 26:1 42:1 151:1 7367:1 8365:1 ,
O 24:1 26:1 43:1 7365:1 8369:1 bird
O 24:1 25:1 44:1 7366:1 8367:1 die-off
O 25:1 42:1 152:1 8345:1 8368:1 ,
B-DIS 26:1 43:1 150:1 8343:1 8348:1 domoic
I-DIS 24:1 32:1 151:1 635:1 8344:1 8346:1 acid
O 17:1 25:1 30:1 633:1 4190:1 8347:1 -
O 11:1 15:1 31:1 89:1 634:1 4188:1 USA
O 16:1 17:1 87:1 4189:1 5819:1 -LRB-
O 11:1 15:1 88:1 95:1 5817:1 CA
O 16:1 26:1 93:1 5818:1 8372:1 -RRB-
O 24:1 26:1 94:1 8370:1 8375:1 -LRB-02-RRB-20020708
O 24:1 25:1 62:1 8371:1 8373:1 .4702
O 25:1 60:1 875:1 8374:1 .
O 4:1 8:1 61:1 873:1 ''
O 3:1 7:1 11:1 26:1 150:1 8348:1 8349:1 Domoic
B-DIS 24:1 83:1 151:1 479:1 8346:1 8350:1 acid
O 25:1 68:1 81:1 287:1 477:1 8347:1 is
B-DIS 66:1 82:1 152:1 285:1 478:1 8378:1 a
I-DIS 67:1 150:1 152:1 286:1 8376:1 8381:1 neurotoxic
I-DIS 26:1 150:1 151:1 8377:1 8379:1 8384:1 tricarboxylic
I-DIS 24:1 26:1 151:1 8348:1 8380:1 8382:1 amino
I-DIS 24:1 25:1 572:1 8346:1 8383:1 8387:1 acid
O 25:1 152:1 570:1 2876:1 8347:1 8385:1 structurally
O 113:1 116:1 150:1 571:1 2874:1 8386:1 related
O 111:1 114:1 151:1 152:1 2875:1 8390:1 to
O 112:1 115:1 131:1 134:1 150:1 8388:1 kainic
O 129:1 132:1 151:1 152:1 8389:1 8393:1 and
O 104:1 130:1 133:1 150:1 8391:1 8396:1 glutamic
O 62:1 102:1 151:1 8392:1 8394:1 acids
O 4:1 8:1 60:1 103:1 8395:1 .
O 3:1 7:1 11:1 110:1 275:1 846:1 3714:1 It
O 108:1 273:1 572:1 847:1 3715:1 8399:1 was
O 109:1 140:1 274:1 570:1 8397:1 8402:1 chemically
O 125:1 138:1 571:1 2015:1 8398:1 8400:1 identified
O 123:1 139:1 914:1 1823:1 2013:1 8401:1 after
O 26:1 124:1 912:1 1821:1 2014:1 2306:1 its
O 24:1 125:1 236:1 913:1 1822:1 2304:1 isolation
O 25:1 50:1 123:1 234:1 2305:1 8405:1 in
O 48:1 124:1 125:1 206:1 235:1 8403:1 1958
O 49:1 68:1 123:1 173:1 204:1 8404:1 from
