O 3:1 7:1 11:1 17:1 63:1 66:1 7961:1 The
O 11:1 15:1 64:1 67:1 104:1 7959:1 10844:1 Agriculture
O 16:1 102:1 125:1 161:1 7960:1 10842:1 ministers
O 17:1 103:1 123:1 159:1 8786:1 10843:1 of
O 11:1 15:1 17:1 124:1 160:1 8784:1 10847:1 El
O 11:1 15:1 16:1 131:1 134:1 8785:1 10845:1 Salvador
O 16:1 17:1 129:1 132:1 10846:1 10850:1 and
O 11:1 15:1 44:1 130:1 133:1 10848:1 Honduras
O 16:1 17:1 42:1 10847:1 10849:1 ,
O 11:1 15:1 17:1 43:1 10845:1 10853:1 Salvador
O 11:1 15:1 16:1 131:1 134:1 10846:1 10851:1 Urrutia
O 16:1 17:1 129:1 132:1 10852:1 10856:1 and
O 11:1 15:1 17:1 130:1 133:1 10854:1 10859:1 Guillermo
O 11:1 15:1 16:1 44:1 10855:1 10857:1 Alvarado
O 16:1 42:1 572:1 3275:1 10858:1 ,
O 43:1 44:1 570:1 3273:1 respectively
O 42:1 125:1 485:1 571:1 3274:1 ,
O 43:1 68:1 123:1 287:1 483:1 at
O 26:1 66:1 124:1 285:1 484:1 10862:1 a
O 24:1 67:1 125:1 236:1 286:1 10860:1 meeting
O 25:1 68:1 123:1 173:1 234:1 10861:1 in
O 66:1 124:1 152:1 171:1 235:1 10865:1 the
O 11:1 26:1 67:1 150:1 172:1 10863:1 10868:1 Salvadoran
O 24:1 110:1 151:1 10864:1 10866:1 10871:1 capital
O 25:1 108:1 113:1 116:1 10867:1 10869:1 agreed
O 109:1 111:1 114:1 611:1 10870:1 10874:1 to
O 104:1 112:1 115:1 609:1 10872:1 10877:1 join
O 102:1 113:1 116:1 610:1 10873:1 10875:1 forces
O 103:1 111:1 114:1 611:1 8060:1 10876:1 to
O 104:1 112:1 115:1 609:1 8058:1 10880:1 implement
O 102:1 131:1 134:1 610:1 8059:1 10878:1 programs
O 103:1 104:1 129:1 132:1 6299:1 10879:1 and
O 102:1 130:1 133:1 140:1 6297:1 10883:1 guidelines
O 103:1 125:1 138:1 485:1 6298:1 10881:1 aimed
O 74:1 123:1 139:1 483:1 10882:1 10886:1 at
O 68:1 72:1 124:1 173:1 484:1 10884:1 controlling
O 26:1 66:1 73:1 171:1 833:1 10885:1 the
O 24:1 67:1 125:1 161:1 172:1 831:1 spread
O 25:1 26:1 123:1 159:1 743:1 832:1 of
O 24:1 74:1 124:1 160:1 741:1 2960:1 disease
O 25:1 26:1 72:1 742:1 2958:1 7922:1 affecting
O 24:1 44:1 73:1 2959:1 7920:1 poultry
O 25:1 42:1 125:1 5168:1 7921:1 ,
O 43:1 68:1 123:1 173:1 5166:1 like
B-DIS 17:1 66:1 124:1 171:1 5167:1 7646:1 the
I-DIS 11:1 15:1 26:1 67:1 86:1 172:1 7644:1 Newcastle
I-DIS 16:1 24:1 62:1 84:1 7645:1 virus
O 4:1 8:1 25:1 60:1 85:1 .
O 3:1 7:1 11:1 15:1 110:1 578:1 10851:1 Urrutia
O 16:1 17:1 108:1 576:1 10852:1 10889:1 confirmed
O 11:1 15:1 109:1 577:1 848:1 5036:1 10887:1 Thursday
O 16:1 110:1 846:1 1610:1 5034:1 10888:1 he
O 108:1 140:1 847:1 1608:1 5035:1 6176:1 had
O 109:1 125:1 138:1 398:1 1609:1 6174:1 met
O 17:1 123:1 139:1 396:1 6175:1 10859:1 with
O 11:1 15:1 124:1 131:1 134:1 397:1 10857:1 Alvarado
O 16:1 129:1 132:1 152:1 10858:1 10892:1 and
O 11:1 26:1 130:1 133:1 150:1 1172:1 10890:1 Honduran
O 24:1 104:1 151:1 1170:1 1415:1 10891:1 health
O 25:1 102:1 113:1 116:1 1171:1 1413:1 authorities
O 103:1 111:1 114:1 611:1 1414:1 4724:1 to
O 68:1 112:1 115:1 173:1 609:1 4722:1 study
B-DIS 17:1 66:1 171:1 610:1 4723:1 7646:1 the
I-DIS 11:1 15:1 26:1 67:1 172:1 722:1 7644:1 Newcastle
I-DIS 16:1 24:1 62:1 720:1 7645:1 outbreak
O 4:1 8:1 25:1 60:1 721:1 .
O 3:1 7:1 11:1 26:1 63:1 66:1 743:1 The
O 24:1 64:1 67:1 83:1 293:1 741:1 disease
O 25:1 81:1 140:1 291:1 742:1 4415:1 has
O 82:1 138:1 292:1 572:1 3431:1 4413:1 killed
O 113:1 116:1 139:1 570:1 3429:1 4414:1 close
O 111:1 114:1 571:1 3430:1 4400:1 10895:1 to
O 68:1 112:1 115:1 287:1 4398:1 10893:1 half
O 50:1 66:1 285:1 4399:1 5666:1 10894:1 a
O 48:1 67:1 152:1 286:1 5664:1 10892:1 million
O 11:1 49:1 104:1 150:1 5665:1 10890:1 10898:1 Honduran
O 102:1 125:1 151:1 236:1 10891:1 10896:1 chickens
O 103:1 123:1 152:1 234:1 590:1 10897:1 in
O 104:1 124:1 150:1 235:1 588:1 1970:1 recent
O 62:1 102:1 151:1 589:1 1968:1 weeks
O 4:1 8:1 60:1 103:1 1969:1 .
O 3:1 7:1 11:1 15:1 110:1 890:1 10848:1 Honduras
O 16:1 68:1 108:1 650:1 888:1 10849:1 said
O 26:1 66:1 109:1 176:1 648:1 889:1 this
O 24:1 67:1 174:1 649:1 848:1 863:1 week
O 25:1 175:1 846:1 861:1 1007:1 1010:1 it
O 611:1 847:1 862:1 1005:1 1008:1 10901:1 would
O 68:1 173:1 609:1 1006:1 1009:1 10899:1 halt
O 26:1 66:1 171:1 610:1 8678:1 10900:1 the
O 24:1 67:1 125:1 161:1 172:1 8676:1 importation
O 25:1 104:1 123:1 159:1 8677:1 10898:1 of
O 102:1 124:1 131:1 134:1 160:1 10896:1 chickens
O 103:1 104:1 129:1 132:1 10897:1 10904:1 and
O 102:1 125:1 130:1 133:1 206:1 10902:1 eggs
O 17:1 103:1 123:1 204:1 10903:1 10907:1 from
O 11:1 15:1 44:1 124:1 205:1 10905:1 Guatemala
O 16:1 42:1 1046:1 3371:1 10906:1 ,
O 43:1 68:1 173:1 1044:1 3369:1 where
O 26:1 66:1 171:1 743:1 1045:1 3370:1 the
O 24:1 67:1 83:1 172:1 293:1 741:1 disease
O 25:1 81:1 140:1 291:1 296:1 742:1 has
O 82:1 138:1 140:1 292:1 294:1 3353:1 been
O 44:1 138:1 139:1 295:1 3351:1 detected
O 42:1 131:1 134:1 139:1 3352:1 ,
O 43:1 129:1 132:1 1010:1 1439:1 and
O 130:1 133:1 611:1 1008:1 1437:1 3356:1 may
O 68:1 173:1 609:1 1009:1 1438:1 3354:1 do
O 66:1 152:1 171:1 227:1 610:1 3355:1 the
O 67:1 125:1 150:1 172:1 225:1 533:1 same
O 17:1 123:1 151:1 226:1 531:1 8786:1 for
O 11:1 15:1 17:1 124:1 532:1 8784:1 10847:1 El
O 11:1 15:1 16:1 44:1 8785:1 10845:1 Salvador
O 16:1 42:1 1046:1 3371:1 10846:1 ,
O 43:1 104:1 1044:1 3369:1 10910:1 where
O 102:1 671:1 1045:1 1052:1 3370:1 10908:1 findings
O 103:1 572:1 669:1 1050:1 1097:1 10909:1 are
O 570:1 572:1 670:1 857:1 1051:1 1095:1 not
O 152:1 570:1 571:1 855:1 1096:1 10913:1 yet
O 62:1 150:1 571:1 856:1 10911:1 conclusive
O 4:1 8:1 60:1 151:1 10912:1 .
O 3:1 7:1 11:1 26:1 66:1 3312:1 10916:1 Both
O 24:1 67:1 104:1 3313:1 10914:1 10919:1 chicken
O 25:1 102:1 131:1 134:1 10915:1 10917:1 farmers
O 103:1 129:1 132:1 152:1 10865:1 10918:1 and
O 11:1 26:1 130:1 133:1 150:1 10863:1 10922:1 Salvadoran
O 24:1 104:1 151:1 1415:1 10864:1 10920:1 agriculture
O 25:1 102:1 110:1 890:1 1413:1 10921:1 authorities
O 103:1 108:1 848:1 888:1 1414:1 3566:1 said
O 109:1 668:1 671:1 846:1 889:1 3564:1 they
O 572:1 666:1 669:1 847:1 1097:1 3565:1 have
O 140:1 570:1 667:1 670:1 1095:1 3353:1 not
O 68:1 138:1 571:1 1096:1 2027:1 3351:1 detected
O 26:1 66:1 139:1 2025:1 3352:1 10925:1 any
O 24:1 67:1 125:1 161:1 2026:1 10923:1 trace
O 25:1 68:1 123:1 159:1 173:1 10924:1 of
O 26:1 66:1 124:1 160:1 171:1 743:1 the
O 24:1 44:1 67:1 172:1 741:1 disease
O 25:1 42:1 134:1 742:1 2072:1 ,
O 43:1 132:1 668:1 671:1 2070:1 but
O 133:1 140:1 666:1 669:1 2071:1 7964:1 have
O 68:1 138:1 287:1 667:1 670:1 7962:1 declared
O 26:1 66:1 139:1 285:1 518:1 7963:1 a
O 24:1 67:1 125:1 161:1 286:1 516:1 state
O 25:1 26:1 123:1 159:1 517:1 764:1 of
O 24:1 124:1 125:1 160:1 236:1 762:1 emergency
O 25:1 123:1 152:1 234:1 763:1 3737:1 in
