3 3:1 7:1 11:1 24:1 26:1 722:1 13305:1
4 24:1 25:1 125:1 720:1 1337:1 13306:1
0 25:1 26:1 123:1 721:1 1335:1 1994:1
0 24:1 124:1 125:1 236:1 1336:1 1992:1
0 17:1 25:1 123:1 234:1 1993:1 13310:1
0 11:1 15:1 32:1 124:1 235:1 13308:1
0 16:1 30:1 152:1 13309:1 13313:1
0 31:1 50:1 150:1 13311:1 13316:1
0 48:1 62:1 151:1 13312:1 13314:1
0 4:1 8:1 49:1 60:1 13315:1
0 3:1 7:1 11:1 15:1 32:1 13317:1
0 16:1 17:1 30:1 13310:1 13318:1
0 11:1 15:1 31:1 758:1 761:1 13308:1
0 16:1 17:1 756:1 759:1 1589:1 13309:1
0 11:1 15:1 125:1 161:1 757:1 760:1 1587:1
0 16:1 123:1 152:1 159:1 1588:1 3341:1
0 11:1 41:1 124:1 150:1 160:1 1586:1 3339:1
0 11:1 39:1 110:1 151:1 890:1 1584:1 3340:1
0 40:1 108:1 572:1 888:1 1585:1 7235:1
0 109:1 125:1 570:1 770:1 889:1 7233:1
0 17:1 123:1 571:1 768:1 7234:1 13322:1
0 11:1 15:1 124:1 125:1 515:1 769:1 13320:1
0 16:1 68:1 123:1 513:1 1022:1 13321:1
0 26:1 66:1 124:1 514:1 1020:1 6440:1
4 24:1 26:1 67:1 722:1 1021:1 6438:1
4 24:1 25:1 515:1 720:1 824:1 6439:1
0 25:1 110:1 513:1 721:1 822:1 1160:1
0 108:1 514:1 572:1 823:1 1115:1 1158:1
0 109:1 125:1 236:1 570:1 1113:1 1159:1
0 68:1 123:1 173:1 234:1 571:1 1114:1
0 17:1 66:1 124:1 171:1 235:1 13325:1
0 11:1 15:1 26:1 67:1 172:1 1448:1 13323:1
0 16:1 24:1 125:1 161:1 1446:1 13324:1
0 17:1 25:1 123:1 159:1 1447:1 13328:1
0 11:1 15:1 17:1 124:1 160:1 9698:1 13326:1
0 11:1 15:1 16:1 17:1 4613:1 9696:1 13327:1
0 11:1 15:1 16:1 83:1 479:1 4611:1 9697:1
0 16:1 81:1 477:1 572:1 1259:1 4612:1
0 82:1 125:1 478:1 570:1 1257:1 1337:1
0 26:1 123:1 571:1 1258:1 1335:1 1994:1
0 24:1 62:1 124:1 1336:1 1992:1
0 4:1 8:1 25:1 60:1 1993:1
0 3:1 7:1 65:1 68:1 840:1
0 11:1 26:1 63:1 66:1 722:1 841:1
3 24:1 64:1 67:1 110:1 275:1 720:1
0 25:1 68:1 108:1 273:1 721:1 1022:1
0 66:1 109:1 140:1 274:1 1020:1 1784:1
0 50:1 67:1 138:1 1021:1 1782:1 2609:1
0 48:1 131:1 134:1 139:1 1783:1 2607:1
0 49:1 68:1 129:1 132:1 413:1 2608:1
0 26:1 66:1 130:1 133:1 411:1 12140:1
1 24:1 67:1 125:1 236:1 412:1 12138:1
0 25:1 68:1 123:1 173:1 234:1 12139:1
0 26:1 66:1 124:1 171:1 235:1 1448:1
0 24:1 67:1 172:1 671:1 1052:1 1446:1
0 25:1 74:1 669:1 1050:1 1367:1 1447:1
0 72:1 140:1 670:1 1051:1 1365:1 3704:1
0 73:1 125:1 138:1 1366:1 3626:1 3702:1
0 68:1 123:1 139:1 173:1 3624:1 3703:1
3 26:1 66:1 124:1 171:1 743:1 3625:1
4 24:1 44:1 67:1 172:1 741:1
0 25:1 42:1 742:1 875:1
0 43:1 110:1 873:1 890:1
0 68:1 108:1 173:1 874:1 888:1
0 26:1 66:1 109:1 171:1 767:1 889:1
0 24:1 67:1 172:1 758:1 761:1 765:1
0 25:1 26:1 756:1 759:1 766:1 10139:1
0 24:1 44:1 757:1 760:1 10137:1
0 17:1 25:1 42:1 10138:1 13331:1
0 11:1 15:1 17:1 43:1 13329:1 13334:1
0 11:1 15:1 16:1 62:1 13330:1 13332:1
0 4:1 8:1 16:1 60:1 13333:1
0 3:1 7:1 11:1 26:1 63:1 66:1 767:1
0 24:1 44:1 64:1 67:1 765:1
0 17:1 25:1 42:1 766:1 13334:1
0 11:1 15:1 43:1 110:1 890:1 13332:1
0 16:1 44:1 108:1 888:1 13333:1
0 42:1 109:1 110:1 889:1 1610:1
0 43:1 108:1 152:1 1608:1 4430:1
0 26:1 109:1 150:1 1609:1 4428:1 6440:1
3 24:1 104:1 151:1 3725:1 4429:1 6438:1
0 25:1 102:1 125:1 158:1 3723:1 6439:1
0 103:1 123:1 156:1 848:1 863:1 3724:1
0 124:1 157:1 572:1 846:1 861:1 1115:1
0 110:1 570:1 847:1 862:1 1113:1 6713:1
0 108:1 125:1 473:1 571:1 1114:1 6711:1
0 50:1 109:1 123:1 471:1 4901:1 6712:1
0 48:1 50:1 124:1 472:1 4899:1 9752:1
0 48:1 49:1 104:1 3815:1 4900:1 9750:1
0 49:1 62:1 102:1 3813:1 9751:1
0 4:1 8:1 60:1 103:1 3814:1
0 3:1 7:1 11:1 110:1 846:1 1463:1 1479:1
0 104:1 108:1 847:1 1461:1 1480:1 10298:1
0 102:1 109:1 113:1 116:1 1462:1 10296:1
0 77:1 103:1 111:1 114:1 611:1 10297:1
0 68:1 75:1 112:1 115:1 609:1 2027:1
0 26:1 66:1 76:1 610:1 866:1 2025:1
0 24:1 67:1 140:1 731:1 864:1 2026:1
0 25:1 113:1 116:1 138:1 729:1 865:1
0 111:1 114:1 139:1 611:1 730:1 734:1
0 26:1 112:1 115:1 609:1 732:1 6440:1
3 24:1 113:1 116:1 610:1 733:1 6438:1
