----------------------------------------------------	CD
.	.
HARARE	NNP
:	:
Zimbabwe	NNP
's	POS
Department	NNP
of	IN
Veterinary	JJ
Services	NNPS
said	VBD
here	RB
on	IN
Tuesday	NNP
that	IN
an	DT
anthrax	NN
outbreak	NN
that	WDT
occurred	VBD
recently	RB
in	IN
the	DT
Dendenyore	NNP
area	NN
of	IN
Mashonaland	NNP
East	NNP
Province	NNP
is	VBZ
now	RB
under	IN
control	NN
.	.
``	``
The	DT
outbreak	NN
was	VBD
an	DT
isolated	VBN
one	CD
and	CC
all	DT
livestock	NN
in	IN
the	DT
area	NN
are	VBP
being	VBG
vaccinated	VBN
against	IN
the	DT
disease	NN
,	,
''	''
said	VBD
the	DT
department	NN
's	POS
director	NN
,	,
Stuart	NNP
Hargreaves	NNP
.	.
The	DT
department	NN
,	,
Hargreaves	NNP
said	VBD
,	,
had	VBD
enough	JJ
anthrax	NN
vaccines	NNS
as	IN
it	PRP
recently	RB
imported	VBD
about	IN
500	CD
000	CD
doses	NNS
.	.
He	PRP
urged	VBD
farmers	NNS
to	TO
report	VB
any	DT
case	NN
suspected	VBN
to	TO
be	VB
anthrax	NN
to	TO
veterinary	JJ
officers	NNS
in	IN
their	PRP$
respective	JJ
areas	NNS
.	.
About	IN
3	CD
weeks	NNS
ago	IN
2	B-VIC
people	I-VIC
were	VBD
reported	VBN
to	TO
have	VB
contracted	VBN
the	DT
anthrax	NN
disease	NN
at	IN
Dendenyore	NN
after	IN
eating	VBG
meat	NN
from	IN
an	B-VIC
infected	I-VIC
cow	I-VIC
.	.
-LSB-	-LRB-
Livestock	NN
anthrax	NN
hypoendemic	JJ
-LRB-	-LRB-
consistent	JJ
small	JJ
numbers	NNS
of	IN
cases	NNS
and	CC
not	RB
the	DT
randomness	NN
associated	VBN
with	IN
the	DT
term	NN
``	``
sporadic	JJ
''	''
-RRB-	-RRB-
in	IN
Zimbabwe	NNP
,	,
and	CC
the	DT
problem	NN
is	VBZ
made	VBN
worse	JJR
by	IN
the	DT
human	JJ
consumption	NN
of	IN
such	JJ
animals	NNS
.	.
In	IN
2000	CD
and	CC
2001	CD
there	EX
was	VBD
a	DT
limited	B-VIC
number	I-VIC
of	IN
livestock	B-VIC
cases	I-VIC
but	CC
over	B-VIC
900	I-VIC
people	I-VIC
were	VBD
affected	VBN
.	.
The	DT
2	B-VIC
cases	I-VIC
reported	VBN
here	RB
were	VBD
probably	RB
those	DT
with	IN
the	DT
worst	JJS
clinical	JJ
signs	NNS
,	,
with	IN
perhaps	RB
another	DT
5	CD
to	TO
8	CD
more	JJR
with	IN
diarrhea	NN
and	CC
abdominal	JJ
pain	NN
.	.
-	:
Mod.MHJ	NN
-RSB-	-RRB-
