O 3:1 7:1 11:1 24:1 125:1 533:1 14418:1 Request
O 25:1 26:1 123:1 531:1 8105:1 14419:1 for
O 11:1 24:1 50:1 124:1 532:1 8103:1 14423:1 Information
O 25:1 48:1 62:1 8104:1 14421:1 -----------------------
O 4:1 8:1 49:1 60:1 14422:1 .
O 3:1 7:1 11:1 15:1 83:1 293:1 675:1 ProMED-mail
O 16:1 81:1 140:1 291:1 676:1 3161:1 has
O 68:1 82:1 138:1 287:1 292:1 3159:1 received
O 26:1 66:1 77:1 139:1 285:1 3160:1 a
O 24:1 67:1 75:1 125:1 206:1 286:1 report
O 25:1 68:1 76:1 123:1 204:1 287:1 from
O 66:1 124:1 152:1 205:1 285:1 6242:1 a
O 26:1 67:1 150:1 286:1 2375:1 6240:1 reliable
O 24:1 125:1 151:1 161:1 2373:1 6241:1 source
O 25:1 104:1 123:1 159:1 2374:1 14426:1 of
O 102:1 124:1 125:1 160:1 161:1 14424:1 rumors
O 68:1 103:1 123:1 159:1 173:1 14425:1 of
O 26:1 66:1 124:1 160:1 171:1 2855:1 the
O 24:1 67:1 125:1 161:1 172:1 2853:1 occurrence
O 25:1 68:1 123:1 159:1 1022:1 2854:1 of
O 26:1 66:1 124:1 160:1 722:1 1020:1 an
O 24:1 67:1 125:1 161:1 720:1 1021:1 outbreak
O 25:1 123:1 152:1 159:1 721:1 8252:1 of
B-DIS 26:1 124:1 150:1 160:1 6869:1 8250:1 avian
I-DIS 24:1 125:1 151:1 236:1 6867:1 8251:1 influenza
O 25:1 123:1 152:1 234:1 3389:1 6868:1 in
B-VIC 26:1 124:1 150:1 235:1 3387:1 13667:1 domestic
I-VIC 24:1 125:1 151:1 236:1 3388:1 13665:1 fowl
O 17:1 25:1 123:1 234:1 13666:1 14429:1 in
O 11:1 15:1 89:1 124:1 235:1 14427:1 Indonesia
O 14:1 16:1 17:1 87:1 14428:1 -LRB-
O 11:1 12:1 15:1 17:1 88:1 14432:1 West
O 11:1 13:1 15:1 16:1 131:1 134:1 14430:1 Java
O 16:1 17:1 129:1 132:1 14431:1 14435:1 and
O 11:1 15:1 95:1 130:1 133:1 14433:1 Sumatra
O 16:1 62:1 93:1 14434:1 -RRB-
O 4:1 8:1 60:1 94:1 .
O 3:1 7:1 11:1 63:1 66:1 104:1 14438:1 The
O 64:1 67:1 102:1 125:1 161:1 14436:1 accounts
O 68:1 103:1 123:1 159:1 173:1 14437:1 of
O 66:1 124:1 140:1 160:1 171:1 14441:1 the
O 26:1 67:1 138:1 172:1 722:1 14439:1 rumored
O 24:1 26:1 139:1 720:1 14440:1 14444:1 outbreak
O 24:1 25:1 125:1 206:1 721:1 14442:1 emanate
O 25:1 50:1 123:1 204:1 215:1 14443:1 from
O 48:1 124:1 152:1 205:1 213:1 14447:1 2
O 49:1 104:1 150:1 214:1 6245:1 14445:1 independent
O 62:1 102:1 151:1 6243:1 14446:1 sources
O 4:1 8:1 60:1 103:1 6244:1 .
O 3:1 7:1 11:1 26:1 150:1 470:1 5727:1 Further
O 24:1 125:1 151:1 206:1 468:1 5728:1 information
O 25:1 68:1 123:1 204:1 469:1 2027:1 from
O 66:1 124:1 140:1 205:1 2025:1 14450:1 any
O 26:1 67:1 138:1 1034:1 2026:1 14448:1 informed
O 24:1 134:1 139:1 197:1 1032:1 14449:1 person
O 25:1 26:1 132:1 195:1 1033:1 6743:1 or
O 24:1 125:1 133:1 196:1 236:1 6741:1 organization
O 25:1 68:1 123:1 173:1 234:1 6742:1 in
O 26:1 66:1 124:1 171:1 235:1 1448:1 the
O 24:1 67:1 172:1 1007:1 1010:1 1446:1 area
O 25:1 611:1 734:1 1005:1 1008:1 1447:1 would
O 140:1 609:1 732:1 1006:1 1009:1 10157:1 be
O 62:1 138:1 610:1 733:1 10155:1 appreciated
O 4:1 8:1 60:1 139:1 10156:1 .
